Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
ILP-WTZ8-14L-U,LED,"8' Linear",,,>80,120-277V,"14,000",,,5000K,,,,,,,,,,,,,,
ILP-VOLA14-24L-U,LED,1x4,,,,120-277V,,"100,000hrs",,5000K,,,,,,,,,,,,,,
ILP-RZ4-32W-U,LED,"4' Linear",,,,120-277V,"5,241","54,000hrs",,5000K,,32,,,,,,,,,,,,
GL-UCL-42-18-120D,LED,Other,,,90,"120V, Triac Dimming","1,800lm",,,4000K,,18,,,,,,,,,,,,
GL-UCL-33-14-120D,LED,Other,,,90,"120V, Triac Dimming","1,400lm",,,4000K,,14,,,,,,,,,,,,
ILP-HZB2-18L-U,LED,"2' Linear",,,>80,120-277V,"18,000","100,000 hrs",,5000K,,122,,,,,,,,,,,,
GL-UCL-21-9-120D,LED,Other,,,90,"120V, Triac Dimming",900lm,,,4000K,9,,,,,,,,,,,,,
GL-UCL-18-9-120D,LED,Other,,,90,"120V, Triac Dimming",900lm,,,4000K,9,,,,,,,,,,,,,
ILP-RX4-12W-U,LED,"4' Linear",,,>80,120-277V,"1,836","> 100,000 hrs",,5000K,,12,,,,,,,,,,,,
GL-UCL-12-5-120D,LED,Other,,,90,"120V, Triac Dimming",500lm,,,4000K,5,,,,,,,,,,,,,
GL-LWLV-4-34-MVD,LED,Other,,,80,120-277V,3000K,"60,000hrs",,4000K,,34,,,,,,,,,,,,
SP-FL0354D-PD,LED,Other,,,80,120-277V,"2,050lm",,,4000K,23,,,,,,,,,,,,,
SP-FL0339D-PD,LED,Other,,,80,120-277V,"1,530lm",,,4000K,18,,,,,,,,,,,,,
TF-SBCST-24X24LP,LED,Other,,,>80,"0-10 Volt dimmable 120-277V","2,200lm","50,000",,5000K,,22,,,,,,,,,,,,
TF-SBCST-20X20LP,LED,Other,,,>80,"0-10 Volt dimmable 120-277V","1,800lm","50,000hrs",,5000K,,18,,,,,,,,,,,,
TF-SBCST-12X12LP,LED,Other,,,>80,"0-10 Volt dimmable 120-277V","1,200lm","50,000hrs",,5000K,,12,,,,,,,,,,,,
WM-XT-WP,LED,Other,,,,"120V/277V AC",,,,1001K,,3.46W,,,,,,,,,,,,
WM-XT-WP-2,LED,Other,,,,120V/277V,,,,,,,,,,,,,,,,,,
WM-XT-WP-1,LED,Other,,,,120V/277V,,,,,,,,,,,,,,,,,,
WM-XTSL,LED,Other,,,,"120V/277V AC",,,,1001K,,"1.2W per head",,,,,,,,,,,,
WM-XTSL-CL,LED,Other,,,,"120V/277V AC",,,,5558K,"1.2W per head",,,,,,,,,,,,,
WM-XTR-2,LED,Other,,,,120V/277V,,,,,,4.8W,,,,,,,,,,,,
WM-XTR-1,LED,Other,,,,120V/277V,,,,,,4.8W,,,,,,,,,,,,
WM-XT-CWP,LED,Other,,,,120V/277V,,,,,,"2.4W Per Head",,,,,,,,,,,,
WM-AA-145,LED,Other,,,,12VAC/DC,,,,,,3W,,,3000K,,,,,,,,,
WM-AA-146,LED,Other,,,,12VAC/DC,,,,,,3W,,,12VAC/DC,,,,,,,,,
WM-AD-003,LED,Other,,,,12VAC/DC,,,,,,5W,,,3000K,,,,,,,,,
WM-AD-131,LED,Other,,,,12VAC/DC,,,,,,5W,,,3000K,,,,,,,,,
WM-AD-192,LED,Other,,,,12VAC/DC,,,,,,5W,,,3000K,,,,,,,,,
WM-AS-158,LED,Other,,,,"12V AC/DC",,,,,,3W,,,3000K,,,,,,,,,
WM-AS-159,LED,Other,,,,"12V AC/DC",,,,,,3W,,,3000K,,,,,,,,,
WM-CMC2L-MCT-DT,LED,Other,,,,120V,450lm,"70,000hrs",,,,6W,,,MCT,,,,,,,,,
WM-CMC2-MCT-DT,LED,Other,,,,120V,450lm,"70,000hrs",,,,6W,,,MCT,,,,,,,,,
