parent_sku,family_count,child_sku,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Wattage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options","Fixture Wattage",Color,"Main Cable Length","Lens Options","Height Options","Wattage & Optics Options","Driver Option","LED Module & Wattage Options","End Cap Options",WattageOptions,"Pendant Mounting Kit","Beam Angle Options","Mounting Options","Trim Ring Finish","Select Finish (Reflectors & Baffles)","Length & Wattage Options","Output Wattage Options","Output Voltage Options","Wattage & Optics/Beams Options","Connector Type Options","Emergency Battery Options","Trimplate Options","Occupancy Sensor","Trim Options","Size\, Wattage & Lumen Options","Size & Wattage Options","Control Options","Square Trim Ring Options","Round Trim Ring Options","Accessories Options","Trim Shape Options","Color Te\,mperature (CCT)","Reflector Options",Reflector,"Reflector Finish","Color Temperature","Fixture Options","Color Temperat","Frosted Lens","Distribution Options"
TF-PLIN3548MV,1,TF-PLIN3548MV-SLHC401WH,,"Metallic Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI835-CS08,,,"3500K 85 CRI","8’ 3/18 Cord\, no plug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI835-CS,,,"3500K 85 CRI","8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI835-CS10,,,"3500K 85 CRI","12’ 3/18 Cord\, no plug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI835-CS11,,,"3500K 85 CRI","12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI835-CS12,,,"3500K 85 CRI","8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI841-CS08,,,"4100K 85 CRI","8’ 3/18 Cord\, no plug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI841-CS,,,"4100K 85 CRI","8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI841-CS10,,,"4100K 85 CRI","12’ 3/18 Cord\, no plug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI841-CS11,,,"4100K 85 CRI","12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI841-CS12,,,"4100K 85 CRI","8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI850-CS08,,,"5000K 85 CRI (Recommended)","8’ 3/18 Cord\, no plug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI850-CS,,,"5000K 85 CRI (Recommended)","8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI850-CS10,,,"5000K 85 CRI (Recommended)","12’ 3/18 Cord\, no plug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI850-CS11,,,"5000K 85 CRI (Recommended)","12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CITLB254MV,2,TF-CITLB254MV-LI850-CS12,,,"5000K 85 CRI (Recommended)","8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CV8001,1,TF-CV8001-17MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CV8001,1,TF-CV8001-32MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CV8002,1,TF-CV8002-17MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-CV8002,1,TF-CV8002-32MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW217S,1,TF-ECLMW217S-WH,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW217S,1,TF-ECLMW217S-WM,,,,,"White Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW217S,1,TF-ECLMW217S-IM,,,,,"Ivory Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW217S,1,TF-ECLMW217S-BM,,,,,"Black Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW217S,1,TF-ECLMW217S-SI,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW217S,1,TF-ECLMW217S-TO,,,,,Tortoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW232S,1,TF-ECLMW232S-WH,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW232S,1,TF-ECLMW232S-WM,,,,,"White Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW232S,1,TF-ECLMW232S-IM,,,,,"Ivory Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW232S,1,TF-ECLMW232S-BM,,,,,"Black Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW232S,1,TF-ECLMW232S-SL,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW232S,1,TF-ECLMW232S-TO,,,,,Tortoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW417S,1,TF-ECLMW417S-WH,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW417S,1,TF-ECLMW417S-WM,,,,,"White Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW417S,1,TF-ECLMW417S-IM,,,,,"Ivory Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW417S,1,TF-ECLMW417S-BM,,,,,"Black Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW417S,1,TF-ECLMW417S-SI,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW417S,1,TF-ECLMW417S-TO,,,,,Tortoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW432S,1,TF-ECLMW432S-WH,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW432S,1,TF-ECLMW432S-WM,,,,,"White Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW432S,1,TF-ECLMW432S-IM,,,,,"Ivory Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW432S,1,TF-ECLMW432S-BM,,,,,"Black Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-ECLMW432S,1,TF-ECLMW432S-SL,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
