sku,parent,finish_options,price,cost_price,Retail_price,sale_price
EN-6641-W,EN-6641,White,1.75,0,,
EN-6631-I,EN-6631,Ivory,1.73,0,,
EN-6631-W,EN-6631,White,1.73,0,,
EN-6621-I,EN-6621,Ivory,1.53,0,,
EN-6621-W,EN-6621,White,1.53,0,,
EN-6611-I,EN-6611,Ivory,1.22,0,,
EN-6611-W,EN-6611,White,1.22,0,,
EN-6601-I,EN-6601,Ivory,1.22,0,,
EN-6601-W,EN-6601,White,1.22,0,,
EN-6501-I,EN-6501,Ivory,1.97,0,,
EN-6501-LA,EN-6501,Light,1.97,0,,
EN-6501-W,EN-6501,White,1.97,0,,
EN-81200-I,EN-81200,Ivory,2.12,0,,
EN-81200-W,EN-81200,White,2.12,0,,
EN-81200-GY,EN-81200,Gray,2.12,0,,
EN-63201-I,EN-63201,Ivory,8.83,0,,
EN-63201-W,EN-63201,White,8.83,0,,
EN-63200-I,EN-63200,Ivory,5.63,0,,
EN-63200-W,EN-63200,White,5.63,0,,
EN-63200-TR-I,EN-63200-TR,Ivory,6.8,0,,
EN-63200-TR-GY,EN-63200-TR,Gray,6.8,0,,
EN-63200-TR-W,EN-63200-TR,White,6.8,0,,
EN-63151-I,EN-63151,Ivory,9.76,0,,
EN-63151-W,EN-63151,White,9.76,0,,
EN-63150-TR-I,EN-63150-TR,Ivory,8.5,0,,
EN-63150-TR-W,EN-63150-TR,White,8.5,0,,
EN-63150-TR-GY,EN-63150-TR,Gray,8.5,0,,
EN-62755-GY,EN-62755,Gray,12.12,0,,
EN-62755-LA,EN-62755,Light,12.12,0,,
EN-62755-I,EN-62755,Ivory,12.12,0,,
EN-62755-W,EN-62755,White,12.12,0,,
EN-62755-NK,EN-62755,Nickel,17.4,0,,
EN-62755-DB,EN-62755,Dark,17.4,0,,
EN-62755-GD,EN-62755,Gold,19.35,0,,
EN-62755-SV,EN-62755,Silver,19.35,0,,
EN-62150-TR-GY,EN-62150-TR,Gray,5.1,0,,
