parent_sku,child_sku,color_temprature
LT-LEDH-NCR5ICA,LT-LEDH-NCR5ICA-4000K,4000K
LT-LED-AFR56,LT-LED-AFR56-2700K,2700K
LT-LED-AFR56,LT-LED-AFR56-3000K,3000K
LT-LED-AFR56,LT-LED-AFR56-3500K,3500K
LT-LED-AFR56,LT-LED-AFR56-4000K,4000K
LT-LED-AF6E,LT-LED-AF6E-2700K,2700K
LT-LED-AF6E,LT-LED-AF6E-3000K,3000K
LT-LED-AF6E,LT-LED-AF6E-3500K,3500K
LT-LED-AF6E,LT-LED-AF6E-4000K,4000K
LT-LED-AF6AD,LT-LED-AF6AD-2700K,2700K
LT-LED-AF6AD,LT-LED-AF6AD-3000K,3000K
LT-LED-AF6AD,LT-LED-AF6AD-3500K,3500K
LT-LED-AF6AD,LT-LED-AF6AD-4000K,4000K
DG-WP7QF1X11U,DG-WP7QF1X11U-4KLB,4000K
DG-WP7QF1X11U,DG-WP7QF1X11U-5KLB,5000K
DG-HLP15QF57U,DG-HLP15QF57U-4KCG,4000K
DG-HLP15QF57U,DG-HLP15QF57U-5KCG,5000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-CZ,4000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-CB,4000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-SO-LZ,4000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-LB,4000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-CZ,5000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-CS,5000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-LB,5000K
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-LZ,5000K
ETH-B08-165W-H,ETH-B08-165W-H-40K,4000K
ETH-B08-165W-H,ETH-B08-165W-H-50K,5000K
ETH-WRP-4-22W,ETH-WRP-4-22W-40K,4000K
ETH-WRP-4-22W,ETH-WRP-4-22W-50K,5000K
ETH-WRP-2-25W,ETH-WRP-2-25W-40K,4000K
ETH-WRP-2-25W,ETH-WRP-2-25W-50K,5000K
GC-40PAR56DIM,GC-40PAR56DIM-927-SP15,2700K
GC-40PAR56DIM,GC-40PAR56DIM-927-NF25,2700K
GC-40PAR56DIM,GC-40PAR56DIM-927-FL40,2700K
GC-40PAR56DIM,GC-40PAR56DIM-930-SP15,3000K
GC-40PAR56DIM,GC-40PAR56DIM-930-NF25,3000K
GC-40PAR56DIM,GC-40PAR56DIM-930-FL40,3000K
GC-13.5T5HE/4F,GC-13.5T5HE/4F-830/EXT-CASE20,3000K
GC-13.5T5HE/4F,GC-13.5T5HE/4F-835/EXT-CASE20,3500K
GC-13.5T5HE/4F,GC-13.5T5HE/4F-840/EXT-CASE20,4000K
GC-17T8/4F,GC-17T8/4F-835/DEB-CASE20,3500K
GC-17T8/4F,GC-17T8/4F-840/DEB-CASE20,4000K
GC-17T8/4F,GC-17T8/4F-850/DEB-CASE20,5000K
GC-11A19DIM,GC-11A19DIM-827-CASE20,2700K
GC-11A19DIM,GC-11A19DIM-830-CASE20,3000K
GC-11A19DIM,GC-11A19DIM-840-CASE20,4000K
GC-8A19DIM,GC-8A19DIM-827/R-CASE20,2700K
GC-8A19DIM,GC-8A19DIM-830/R-CASE20,3000K
GC-8A19DIM,GC-8A19DIM-840/R-CASE20,4000K
LT-SLED1204,"LT-SLED 1204-27-WH",2700K
LT-SLED1204,"LT-SLED 1204-30-WH",3000K
LT-SLED1204,"LT-SLED 1204-35-WH",3500K
LT-SLED1204,"LT-SLED 1204-40-WH",4000K
LT-SLED1807,LT-SLED1807-2700K,2700K
LT-SLED1807,LT-SLED1807-3000K,3000K
LT-SLED1807,LT-SLED1807-3500K,3500K
LT-SLED1807,LT-SLED1807-4000K,4000K
LT-SLED2108,LT-SLED2108-27K,2700K
LT-SLED2108,LT-SLED2108-30K,3000K
LT-SLED2108,LT-SLED2108-35K,3500K
LT-SLED2108,LT-SLED2108-40K,4000K
LT-SLED2409,LT-SLED2409-27K,2700K
LT-SLED2409,LT-SLED2409-30K,3000K
LT-SLED2409,LT-SLED2409-35K,3500K
LT-SLED2409,LT-SLED2409-40K,4000K
LT-SLED3612,LT-SLED3612-27K,2700K
LT-SLED3612,LT-SLED3612-30K,3000K
LT-SLED3612,LT-SLED3612-35K,3500K
LT-SLED3612,LT-SLED3612-40K,4000K
LT-SLED4818,LT-SLED4818-27K,2700K
LT-SLED4818,LT-SLED4818-30K,3000K
LT-SLED4818,LT-SLED4818-35K,3500K
LT-SLED4818,LT-SLED4818-40K,4000K
LT-UCLD1204,LT-UCLD1204-27K,2700K
LT-UCLD1204,LT-UCLD1204-30K,3000K
LT-UCLD1204,LT-UCLD1204-35K,3500K
LT-UCLD1204,LT-UCLD1204-40K,4000K
LT-UCLD1807,LT-UCLD1807-27K,2700K
LT-UCLD1807,LT-UCLD1807-30K,3000K
LT-UCLD1807,LT-UCLD1807-35K,3500K
LT-UCLD1807,LT-UCLD1807-40K,4000K
"LT-UCLD 2108","LT-UCLD 2108-2700K",2700K
"LT-UCLD 2108","LT-UCLD 2108-3000K",3000K
"LT-UCLD 2108","LT-UCLD 2108-3500K",3500K
"LT-UCLD 2108","LT-UCLD 2108-4000K",4000K
LT-UCLD2409,LT-UCLD2409-27K,2700K
LT-UCLD2409,LT-UCLD2409-30K,3000K
LT-UCLD2409,LT-UCLD2409-35K,3500K
LT-UCLD2409,LT-UCLD2409-40K,4000K
LT-UCLD3612,LT-UCLD3612-27K,2700K
LT-UCLD3612,LT-UCLD3612-30K,3000K
LT-UCLD3612,LT-UCLD3612-35K,3500K
LT-UCLD3612,LT-UCLD3612-40K,4000K
LT-UCLD4818,LT-UCLD4818-27K,2700K
LT-UCLD4818,"LT-UCLD 4818-30K",3000K
LT-UCLD4818,"LT-UCLD 4818-35K",3500K
LT-UCLD4818,"LT-UCLD 4818-40K",4000K
LT-CMED-111-15,LT-CMED-111-15-927-WH,2700K
LT-CMED-111-15,LT-CMED-111-15-927-BK,2700K
LT-CMED-111-15,LT-CMED-111-15-927-BN,2700K
LT-CMED-111-15,LT-CMED-111-15-927-SN,2700K
LT-CMED-111-15,LT-CMED-111-15-927-C,2700K
LT-CMED-111-15,LT-CMED-111-15-930-WH,3000K
LT-CMED-111-15,LT-CMED-111-15-930-BK,3000K
LT-CMED-111-15,LT-CMED-111-15-930-BN,3000K
LT-CMED-111-15,LT-CMED-111-15-930-SN,3000K
LT-CMED-111-15,LT-CMED-111-15-930-C,3000K
LT-CMED-111-15,LT-CMED-111-15-935-WH,3500K
LT-CMED-111-15,LT-CMED-111-15-935-BK,3500K
LT-CMED-111-15,LT-CMED-111-15-935-BN,3500K
LT-CMED-111-15,LT-CMED-111-15-935-SN,3500K
LT-CMED-111-15,LT-CMED-111-15-935-C,3500K
LT-CMED-111-15,LT-CMED-111-15-940-WH,4000K
LT-CMED-111-15,LT-CMED-111-15-940-BK,4000K
LT-CMED-111-15,LT-CMED-111-15-940-BN,4000K
LT-CMED-111-15,LT-CMED-111-15-940-SN,4000K
LT-CMED-111-15,LT-CMED-111-15-940-C,4000K
LT-CMED-114-23,LT-CMED-114-23-927-WH,2700K
LT-CMED-114-23,LT-CMED-114-23-927-BK,2700K
LT-CMED-114-23,LT-CMED-114-23-927-BN,2700K
LT-CMED-114-23,LT-CMED-114-23-927-SN,2700K
LT-CMED-114-23,LT-CMED-114-23-927-C,2700K
LT-CMED-114-23,LT-CMED-114-23-930-WH,3000K
LT-CMED-114-23,LT-CMED-114-23-930-BK,3000K
LT-CMED-114-23,LT-CMED-114-23-930-BN,3000K
LT-CMED-114-23,LT-CMED-114-23-930-SN,3000K
LT-CMED-114-23,LT-CMED-114-23-930-C,3000K
LT-CMED-114-23,LT-CMED-114-23-935-WH,3500K
LT-CMED-114-23,LT-CMED-114-23-935-BK,3500K
LT-CMED-114-23,LT-CMED-114-23-935-BN,3500K
LT-CMED-114-23,LT-CMED-114-23-935-SN,3500K
LT-CMED-114-23,LT-CMED-114-23-935-C,3500K
LT-CMED-114-23,LT-CMED-114-23-940-WH,4000K
LT-CMED-114-23,LT-CMED-114-23-940-BK,4000K
LT-CMED-114-23,LT-CMED-114-23-940-BN,4000K
LT-CMED-114-23,LT-CMED-114-23-940-SN,4000K
LT-CMED-114-23,LT-CMED-114-23-940-C,4000K
LT-CMED-211-15,LT-CMED-211-15-2700K-WH,2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-BK,2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-BN,2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-SN,2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-C,2700K
LT-CMED-211-15,LT-CMED-211-15-3000K-WH,3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-BK,3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-BN,3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-SN,3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-C,3000K
LT-CMED-211-15,LT-CMED-211-15-3500K-WH,3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-BK,3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-BN,3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-SN,3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-C,3500K
LT-CMED-211-15,LT-CMED-211-15-4000K-WH,4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-BK,4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-BN,4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-SN,4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-C,4000K
LT-CMED-214-23,LT-CMED-214-23-2700K-WH,2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-BK,2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-BN,2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-SN,2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-C,2700K
