sku,parent,Color_Temperature,price,cost_price,Retail_price,sale_price
TF-WLINPF232MV-SL,TF-WLINPF232MV,5000K,257.15,0,,
TF-WLINPF232MV-IN,TF-WLINPF232MV,5000K,257.15,0,,
TF-WLINPF254MV-WH,TF-WLINPF254MV,5000K,277.15,0,,
TF-WLINPF254MV-BK,TF-WLINPF254MV,5000K,314.3,0,,
TF-WLINPF254MV-SL,TF-WLINPF254MV,5000K,314.3,0,,
TF-WLINPF254MV-IN,TF-WLINPF254MV,5000K,314.3,0,,
TF-VAN-217E120-AL,TF-VAN,5000K,110,0,,
TF-VAN-217E120-SW,TF-VAN,5000K,110,0,,
TF-VAN-225E120-AL,TF-VAN,5000K,118.6,0,,
TF-VAN-225E120-SW,TF-VAN,5000K,118.6,0,,
TF-VAN-232E120-AL,TF-VAN,5000K,128.6,0,,
TF-VAN-232E120-SW,TF-VAN,5000K,128.6,0,,
TF-BKRA125MV-WH,TF-BKRA125MV,5000K,91.43,0,,
TF-BKRA125MV-CHE,TF-BKRA125MV,5000K,91.43,0,,
TF-BKRA125MV-CH,TF-BKRA125MV,5000K,91.43,0,,
TF-BKRA132MV-WH,TF-BKRA132MV,5000K,98.6,0,,
TF-BKRA132MV-CHE,TF-BKRA132MV,5000K,98.6,0,,
TF-BKRA132MV-CH,TF-BKRA132MV,5000K,98.6,0,,
TF-24C2-M20BL10-X1,TF-24C2,5000K,27.6,0,,
TF-24C2-M20BL10-MV,TF-24C2,5000K,37.85,0,,
TF-24C2-M20BL10-WR,TF-24C2,5000K,41.1,0,,
TF-24C2-W10BL10-X1,TF-24C2,5000K,19.3,0,,
TF-24C2-W10BL10-MV,TF-24C2,5000K,29.55,0,,
TF-24C2-W10BL10-WR,TF-24C2,5000K,32.8,0,,
BL-RELXTE1RCAEM-SDT-R,BL-RELXTE1RCAEM-SDT,5000K,146.42,0,,
BL-RELXTE1RCAEM-SDT-G,BL-RELXTE1RCAEM-SDT,5000K,149.65,0,,
BL-LEDCXTEU-1-R-W,BL-LEDCXTEU,5000K,53.95,0,,
BL-LEDCXTEU-1-R-B,BL-LEDCXTEU,5000K,58.95,0,,
BL-LEDCXTEU-1-G-W,BL-LEDCXTEU,5000K,56.95,0,,
BL-LEDCXTEU-1-G-B,BL-LEDCXTEU,5000K,61.95,0,,
BL-LEDCXTEU-2-R-W,BL-LEDCXTEU,5000K,57.95,0,,
BL-LEDCXTEU-2-R-B,BL-LEDCXTEU,5000K,62.95,0,,
BL-LEDCXTEU-2-G-W,BL-LEDCXTEU,5000K,60.95,0,,
BL-LEDCXTEU-2-G-B,BL-LEDCXTEU,5000K,65.95,0,,
AT-CPPG-40W4000LM-4000K,AT-CPPG,5000K,205.95,0,,
AT-CPPG-40W4000LM-5000K,AT-CPPG,5000K,205.95,0,,
AT-CPPG-60W6000LM-4000K,AT-CPPG,5000K,309.95,0,,
AT-CPPG-60W6000LM-5000K,AT-CPPG,5000K,309.95,0,,
AT-CPPG-90W8500LM-4000K,AT-CPPG,5000K,359.95,0,,
AT-CPPG-90W8500LM-5000K,AT-CPPG,5000K,359.95,0,,
NL-TP260-W20-30K,NL-TP260,5000K,154.3,0,,
NL-TP260-W20-40K,NL-TP260,5000K,154.3,0,,
NL-TP260-W20-50K,NL-TP260,5000K,154.3,0,,
NL-TP260-W35-30K,NL-TP260,5000K,164.3,0,,
NL-TP260-W35-40K,NL-TP260,5000K,164.3,0,,
NL-TP260-W35-50K,NL-TP260,5000K,164.3,0,,
ILP-SS8-12L-U-35-FRL,ILP-SS8-12L-U,3500K,128.6,0,,
ILP-SS8-12L-U-40-FRL,ILP-SS8-12L-U,4000K,128.6,0,,
ILP-SS8-12L-U-50-FRL,ILP-SS8-12L-U,5000K,128.6,0,,
