parent_sku,child_sku,Wattage_Options
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-30K,"35 Watts"
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-35K,"35 Watts"
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-40K,"35 Watts"
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-50K,"35 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-30K,"24 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-35K,"24 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-40K,"24 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-50K,"24 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-30K,"35 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-35K,"35 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-40K,"35 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-50K,"35 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-30K,"48 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-35K,"48 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-40K,"48 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-50K,"48 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-30K,"57 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-35K,"57 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-40K,"57 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-50K,"57 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-30KWH,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-35KWH,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-40KWH,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-50KWH,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-30KWH,"35 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-35KWH,"35 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-40KWH,"35 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-50KWH,"35 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-30KWH,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-35KWH,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-40KWH,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-50KWH,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-30KWH,"72 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-35KWH,"72 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-40KWH,"72 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-50KWH,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-30K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-35K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-40K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-50K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-30K,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-35K,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-40K,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-50K,"72 Watts"
TF-SKDWBFR96L,TF-SKDWBFR96L-J80W8000LDMV40KWH,"80 Watts"
TF-SKDWBFR96L,TF-SKDWBFR96L-Z114W10800LDMV40KWH,"114 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-30KWHHC3015WH,"48 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-35KWHHC3015WH,"48 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-40KWHHC3015WH,"48 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-50KWHHC3015WH,"48 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-30KWHHC3015WH,"96 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-35KWHHC3015WH,"96 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-40KWHHC3015WH,"96 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-50KWHHC3015WH,"96 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-30KWHHC3015WH,"114 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-35KWHHC3015WH,"114 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-40KWHHC3015WH,"114 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-50KWHHC3015WH,"114 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-30KWHHC3015WH,"144 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-35KWHHC3015WH,"144 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-40KWHHC3015WH,"144 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-50KWHHC3015WH,"144 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-WH,"24 Watts"
