sku,Price,"Cost Price","Retail Price","Sale Price"
TF-LVS696L-J96W8000LDMV-50KWHHC3015WH,455.72,0,,
TF-LVS696L-Z114W9600LDMV-30KWHHC3015WH,461.43,0,,
TF-LVS696L-Z114W9600LDMV-35KWHHC3015WH,461.43,0,,
TF-LVS696L-Z114W9600LDMV-40KWHHC3015WH,461.43,0,,
TF-LVS696L-Z114W9600LDMV-50KWHHC3015WH,461.43,0,,
TF-LVS696L-Z144W12000LDMV-30KWHHC3015WH,574.3,0,,
TF-LVS696L-Z144W12000LDMV-35KWHHC3015WH,574.3,0,,
TF-LVS696L-Z144W12000LDMV-40KWHHC3015WH,574.3,0,,
TF-LVS696L-Z144W12000LDMV-50KWHHC3015WH,574.3,0,,
TF-ECLMW224L-S24W2000LDMV-30K-WH,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-30K-WM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-30K-SL,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-30K-BM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-30K-TO,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-30K-IM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-35K-WH,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-35K-WM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-35K-SL,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-35K-BM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-35K-TO,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-35K-IM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-40K-WH,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-40K-WM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-40K-SL,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-40K-BM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-40K-TO,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-40K-IM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-50K-WH,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-50K-WM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-50K-SL,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-50K-BM,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-50K-TO,145.72,0,,
TF-ECLMW224L-S24W2000LDMV-50K-IM,145.72,0,,
TF-ECLMW224L-H36W2900LDMV-30K-WH,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-30K-WM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-30K-SL,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-30K-BM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-30K-TO,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-30K-IM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-35K-WH,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-35K-WM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-35K-SL,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-35K-BM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-35K-TO,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-35K-IM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-40K-WH,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-40K-WM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-40K-SL,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-40K-BM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-40K-TO,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-40K-IM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-50K-WH,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-50K-WM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-50K-SL,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-50K-BM,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-50K-TO,171.43,0,,
TF-ECLMW224L-H36W2900LDMV-50K-IM,171.43,0,,
TF-ECLMW248L-S32W2900LDMV-30K-WH,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-30K-SL,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-30K-BM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-30K-TO,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-30K-IM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-30K-WM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-35K-WH,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-35K-SL,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-35K-BM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-35K-TO,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-35K-IM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-35K-WM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-40K-WH,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-40K-SL,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-40K-BM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-40K-TO,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-40K-IM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-40K-WM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-50K-WH,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-50K-SL,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-50K-BM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-50K-TO,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-50K-IM,162.86,0,,
TF-ECLMW248L-S32W2900LDMV-50K-WM,162.86,0,,
TF-ECLMW248L-S48W4000LDMV-30K-WH,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-30K-SL,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-30K-BM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-30K-TO,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-30K-IM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-30K-WM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-35K-WH,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-35K-SL,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-35K-BM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-35K-TO,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-35K-IM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-35K-WM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-40K-WH,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-40K-SL,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-40K-BM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-40K-TO,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-40K-IM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-40K-WM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-50K-WH,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-50K-SL,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-50K-BM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-50K-TO,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-50K-IM,165.72,0,,
TF-ECLMW248L-S48W4000LDMV-50K-WM,165.72,0,,
TF-ECLMW248L-S57W4500LDMV-30K-WH,171.43,0,,
TF-ECLMW248L-S57W4500LDMV-30K-SL,171.43,0,,
TF-PUF22L-S24W1800LDMV-30K,172.86,0,,
TF-PUF22L-S24W1800LDMV-35K,172.86,0,,
TF-PUF22L-S24W1800LDMV-40K,172.86,0,,
TF-PUF22L-S24W1800LDMV-50K,172.86,0,,
TF-PUF22L-H36W2900LDMV-30K,178.6,0,,
TF-PUF22L-H36W2900LDMV-35K,178.6,0,,
TF-PUF22L-H36W2900LDMV-40K,178.6,0,,
TF-PUF22L-H36W2900LDMV-50K,178.6,0,,
TF-CLMMW248L-S32W3450LDMV-30K,170,0,,
TF-CLMMW248L-S32W3450LDMV-35K,170,0,,
TF-CLMMW248L-S32W3450LDMV-40K,170,0,,
TF-CLMMW248L-S32W3450LDMV-50K,170,0,,
TF-CLMMW248L-S48W4800LDMV-30K,177.15,0,,
TF-CLMMW248L-S48W4800LDMV-35K,177.15,0,,
TF-CLMMW248L-S48W4800LDMV-40K,177.15,0,,
TF-CLMMW248L-S48W4800LDMV-50K,177.15,0,,
TF-CLMMW248L-S57W5400LDMV-30K,180,0,,
TF-CLMMW248L-S57W5400LDMV-35K,180,0,,
TF-CLMMW248L-S57W5400LDMV-40K,180,0,,
TF-CLMMW248L-S57W5400LDMV-50K,180,0,,
TF-CLMMW448L-S72W7000LDMV-30K,254.3,0,,
TF-CLMMW448L-S72W7000LDMV-35K,254.3,0,,
TF-CLMMW448L-S72W7000LDMV-40K,254.3,0,,
TF-CLMMW448L-S72W7000LDMV-50K,254.3,0,,
TF-CLMMW448L-S97W9600LDMV-30K,278.6,0,,
TF-CLMMW448L-S97W9600LDMV-35K,278.6,0,,
TF-CLMMW448L-S97W9600LDMV-40K,278.6,0,,
TF-CLMMW448L-S97W9600LDMV-50K,278.6,0,,
TF-C24LFR-F24W3000LDMV-30K,108.6,0,,
TF-C24LFR-F24W3000LDMV-35K,108.6,0,,
TF-C24LFR-F24W3000LDMV-40K,108.6,0,,
TF-C24LFR-F24W3000LDMV-50K,108.6,0,,
TF-C24LFR-F30W3400LDMV-30K,112.86,0,,
TF-C24LFR-F30W3400LDMV-35K,112.86,0,,
TF-C24LFR-F30W3400LDMV-40K,112.86,0,,
TF-C24LFR-F30W3400LDMV-50K,112.86,0,,
