parent_sku,child_sku,"Color Temperature (CCT)",price,cost_price,Retail_price,sale_price
PI-PT-HBL4,PI-PT-HBL4-210W-40K,5000K,189.1,0,,
PI-PT-HBL4,PI-PT-HBL4-300W-40K,5000K,242.73,0,,
PI-PT-HBL4,PI-PT-HBL4-105W-50K,5000K,108.43,0,,
PI-PT-HBL4,PI-PT-HBL4-155W-50K,5000K,142.82,0,,
PI-PT-HBL4,PI-PT-HBL4-170W-50K,5000K,178.32,0,,
PI-PT-HBL4,PI-PT-HBL4-210W-50K,5000K,189.1,0,,
PI-PT-HBL4,PI-PT-HBL4-300W-50K,5000K,242.73,0,,
BL-PAR-1,BL-PAR-1W,5000K,27.86,0,,
BL-PAR-1,BL-PAR-1B,5000K,27.86,0,,
ILP-AL-375WU,ILP-AL-375WU-30TIVUPMB,3000K,980,0,,
ILP-AL-375WU,ILP-AL-375WU-40TIVUPMB,4000K,980,0,,
ILP-AL-375WU,ILP-AL-375WU-50TIVUPMB,5000K,980,0,,
ILP-AL-225WU,ILP-AL-225WU-30TIVUPMB,3000K,610,0,,
ILP-AL-225WU,ILP-AL-225WU-40TIVUPMB,4000K,610,0,,
ILP-AL-225WU,ILP-AL-225WU-50TIVUPMB,5000K,610,0,,
ILP-AL-90WU,ILP-AL-90WU-30TIVUPMB,3000K,384.3,0,,
ILP-AL-90WU,ILP-AL-90WU-40TIVUPMB,4000K,384.3,0,,
ILP-AL-90WU,ILP-AL-90WU-50TIVUPMB,5000K,384.3,0,,
ILP-BLFT-15WLED-UNIV-4000K,ILP-BLFT-15WLED-UNIV-4000K-BRZ,5000K,544.3,0,,
ILP-BLFT-15WLED-UNIV-4000K,ILP-BLFT-15WLED-UNIV-4000K-BLK,5000K,544.3,0,,
EL-EB30-11W,EL-EB30-11W-3020e-CASE25,2700K,48.6,0,,
