sku,price-USD,price-USD,mpn,price-USD,product_name,description,item_weight,item_weight-unit
PT4-090,N/A,N/A,
PSS4L1HTZ,N/A,N/A,
PSS4T180HTZ,N/A,N/A,
PSS4TR90HTZ,N/A,N/A,
PSS4T90HTZ,N/A,N/A,
PSS4Q90HTZ,N/A,N/A,
PSS4Q90VTZ,N/A,N/A,
PSS4TVTZ,N/A,N/A,
PSS4TRVTZ,N/A,N/A,
PC-1,N/A,N/A,
PC-1H,N/A,N/A,
PC-1S,N/A,N/A,
PC-2S,N/A,N/A,
PC-B,N/A,N/A,
PC-BM,N/A,N/A,
PC-BP,N/A,N/A,
PC-BUM,N/A,N/A,
PC-TLSC,N/A,N/A,
PC-TLSOC-3PIN,N/A,N/A,
PC-TLSOC-7PIN,N/A,N/A,
PC-TWIST,N/A,N/A,
PC-TWIST-480V,N/A,N/A,
WEC-3MPC-GY,N/A,N/A,
WEC-3MRLV-5-BR,N/A,N/A,
WEC-3MRLV-5-GY,N/A,N/A,
WEC-3MRLV-5-WH,N/A,N/A,
WEC-3MRLV-5-CLR,N/A,N/A,
WEC-3MR-3-BR,N/A,N/A,
WEC-3MR-3-WH,N/A,N/A,
WEC-3MDR-42,N/A,N/A,
WEC-3PDR-52,N/A,N/A,
WEC-3MR-48,N/A,N/A,
WEC-3PR-60,N/A,N/A,
WEC-3MR-4-BR,N/A,N/A,
WEC-3PDR-58-BR,N/A,N/A,
WEC-3PDR-58-WH,N/A,N/A,
WEC-2MRHB2,N/A,N/A,
WEC-3MR-45,N/A,N/A,
WEC-2MD-33,N/A,N/A,
WEC-2MDR-33,N/A,N/A,
WEC-2MDRH-35,N/A,N/A,
WEC-2P-44,N/A,N/A,
WEC-2ADP,N/A,N/A,
WEC-2RC-33,N/A,N/A,
WEC-2TS,N/A,N/A,
WEC-ON50-BR,N/A,N/A,
WEC-ON50-WH,N/A,N/A,
LLHB-SENB,N/A,N/A,
CRE-01-30K-BR,10W(2.5WX4),3000K,
CRE-01-40K-BR,10W(2.5WX4),4000K,
CRE-01-50K-BR,10W(2.5WX4),5000K,
CRE-01-30K-SIL,10W(2.5WX4),3000K,
CRE-01-40K-SIL,10W(2.5WX4),4000K,
CRE-01-50K-SIL,10W(2.5WX4),5000K,
CRE-02-30K-BR,10W(2.5WX4),3000K,
CRE-02-40K-BR,10W(2.5WX4),4000K,
CRE-02-50K-BR,10W(2.5WX4),5000K,
CRE-02-30K-SIL,10W(2.5WX4),3000K,
CRE-02-40K-SIL,10W(2.5WX4),4000K,
CRE-02-50K-SIL,10W(2.5WX4),5000K,
CRE-03-30K-BR,10W(2.5WX4),3000K,
CRE-03-40K-BR,10W(2.5WX4),4000K,
CRE-03-50K-BR,10W(2.5WX4),5000K,
CRE-03-30K-SIL,10W(2.5WX4),3000K,
CRE-03-40K-SIL,10W(2.5WX4),4000K,
CRE-03-50K-SIL,10W(2.5WX4),5000K,
CRE-04-30K-BR,10W(2.5WX4),3000K,
CRE-04-40K-BR,10W(2.5WX4),4000K,
CRE-04-50K-BR,10W(2.5WX4),5000K,
CRE-04-30K-SIL,10W(2.5WX4),3000K,
CRE-04-40K-SIL,10W(2.5WX4),4000K,
CRE-04-50K-SIL,10W(2.5WX4),5000K,
CRE-05-30K-BR,10W(2.5WX4),3000K,
CRE-05-40K-BR,10W(2.5WX4),4000K,
CRE-05-50K-BR,10W(2.5WX4),5000K,
CRE-05-30K-SIL,10W(2.5WX4),3000K,
CRE-05-40K-SIL,10W(2.5WX4),4000K,
CRE-05-50K-SIL,10W(2.5WX4),5000K,
CRE-06-30K-BR,10W(2.5WX4),3000K,
CRE-06-40K-BR,10W(2.5WX4),4000K,
CRE-06-50K-BR,10W(2.5WX4),5000K,
CRE-06-30K-SIL,10W(2.5WX4),3000K,
CRE-06-40K-SIL,10W(2.5WX4),4000K,
CRE-06-50K-SIL,10W(2.5WX4),5000K,
CRE-07-30K-BR,10W(2.5WX4),3000K,
CRE-07-40K-BR,10W(2.5WX4),4000K,
CRE-07-50K-BR,10W(2.5WX4),5000K,
CRE-07-30K-SIL,10W(2.5WX4),3000K,
CRE-07-40K-SIL,10W(2.5WX4),4000K,
CRE-07-50K-SIL,10W(2.5WX4),5000K,
CRE-08-30K-BR,10W(2.5WX4),3000K,
CRE-08-40K-BR,10W(2.5WX4),4000K,
CRE-08-50K-BR,10W(2.5WX4),5000K,
CRE-08-30K-SIL,10W(2.5WX4),3000K,
CRE-08-40K-SIL,10W(2.5WX4),4000K,
CRE-08-50K-SIL,10W(2.5WX4),5000K,
CRE-10-30K-BR,10W(2.5WX4),3000K,
CRE-10-40K-BR,10W(2.5WX4),4000K,
CRE-10-50K-BR,10W(2.5WX4),5000K,
CRE-10-30K-SIL,10W(2.5WX4),3000K,
CRE-10-40K-SIL,10W(2.5WX4),4000K,
CRE-10-50K-SIL,10W(2.5WX4),5000K,
CRE-HL20-01-30K-BR,20W(5WX4),3000K,
CRE-HL20-01-40K-BR,20W(5WX4),4000K,
CRE-HL20-01-50K-BR,20W(5WX4),5000K,
CRE-HL20-01-30K-SIL,20W(5WX4),3000K,
CRE-HL20-01-40K-SIL,20W(5WX4),4000K,
CRE-HL20-01-50K-SIL,20W(5WX4),5000K,
CRE-HL20-02-30K-BR,20W(5WX4),3000K,
CRE-HL20-02-40K-BR,20W(5WX4),4000K,
CRE-HL20-02-50K-BR,20W(5WX4),5000K,
CRE-HL20-02-30K-SIL,20W(5WX4),3000K,
CRE-HL20-02-40K-SIL,20W(5WX4),4000K,
CRE-HL20-02-50K-SIL,20W(5WX4),5000K,
CRE-HL20-03-30K-BR,20W(5WX4),3000K,
CRE-HL20-03-40K-BR,20W(5WX4),4000K,
CRE-HL20-03-50K-BR,20W(5WX4),5000K,
CRE-HL20-03-30K-SIL,20W(5WX4),3000K,
CRE-HL20-03-40K-SIL,20W(5WX4),4000K,
CRE-HL20-03-50K-SIL,20W(5WX4),5000K,
CRE-HL20-04-30K-BR,20W(5WX4),3000K,
CRE-HL20-04-40K-BR,20W(5WX4),4000K,
CRE-HL20-04-50K-BR,20W(5WX4),5000K,
CRE-HL20-04-30K-SIL,20W(5WX4),3000K,
CRE-HL20-04-40K-SIL,20W(5WX4),4000K,
CRE-HL20-04-50K-SIL,20W(5WX4),5000K,
CRE-HL20-05-30K-BR,20W(5WX4),3000K,
CRE-HL20-05-40K-BR,20W(5WX4),4000K,
CRE-HL20-05-50K-BR,20W(5WX4),5000K,
CRE-HL20-05-30K-SIL,20W(5WX4),3000K,
CRE-HL20-05-40K-SIL,20W(5WX4),4000K,
CRE-HL20-05-50K-SIL,20W(5WX4),5000K,
CRE-HL20-06-30K-BR,20W(5WX4),3000K,
CRE-HL20-06-40K-BR,20W(5WX4),4000K,
CRE-HL20-06-50K-BR,20W(5WX4),5000K,
CRE-HL20-06-30K-SIL,20W(5WX4),3000K,
CRE-HL20-06-40K-SIL,20W(5WX4),4000K,
CRE-HL20-06-50K-SIL,20W(5WX4),5000K,
CRE-HL20-07-30K-BR,20W(5WX4),3000K,
CRE-HL20-07-40K-BR,20W(5WX4),4000K,
CRE-HL20-07-50K-BR,20W(5WX4),5000K,
CRE-HL20-07-30K-SIL,20W(5WX4),3000K,
CRE-HL20-07-40K-SIL,20W(5WX4),4000K,
CRE-HL20-07-50K-SIL,20W(5WX4),5000K,
CRE-HL20-08-30K-BR,20W(5WX4),3000K,
CRE-HL20-08-40K-BR,20W(5WX4),4000K,
CRE-HL20-08-50K-BR,20W(5WX4),5000K,
CRE-HL20-08-30K-SIL,20W(5WX4),3000K,
CRE-HL20-08-40K-SIL,20W(5WX4),4000K,
CRE-HL20-08-50K-SIL,20W(5WX4),5000K,
CRE-HL20-10-30K-BR,20W(5WX4),3000K,
CRE-HL20-10-40K-BR,20W(5WX4),4000K,
CRE-HL20-10-50K-BR,20W(5WX4),5000K,
CRE-HL20-10-30K-SIL,20W(5WX4),3000K,
CRE-HL20-10-40K-SIL,20W(5WX4),4000K,
CRE-HL20-10-50K-SIL,20W(5WX4),5000K,
CRES-51-30K-BR,15W,3000K,
CRES-51-40K-BR,15W,4000K,
CRES-51-50K-BR,15W,5000K,
CRES-51-30K-SIL,15W,3000K,
CRES-51-40K-SIL,15W,4000K,
CRES-51-50K-SIL,15W,5000K,
CRES-52-30K-BR,15W,3000K,
CRES-52-40K-BR,15W,4000K,
CRES-52-50K-BR,15W,5000K,
CRES-52-30K-SIL,15W,3000K,
CRES-52-40K-SIL,15W,4000K,
CRES-52-50K-SIL,15W,5000K,
ULHB-50W-50K-WH,50W,5000K,
ULHB-100W-30K,100W,3000K,
ULHB-EHL-300W-50K,300W,5000K,
ULHB-EMK,N/A,N/A,
ULHB-SK,N/A,N/A,
ULHB-SK-480V,N/A,N/A,
ULHB-ALR-100/150,N/A,N/A,
ULHB-ALR-200/240,N/A,N/A,
ULHB-PCR-100/150,N/A,N/A,
ULHB-PCR-200/240,N/A,N/A,
ULHB-PCC-100/150,N/A,N/A,
ULHB-PCC-200/240,N/A,N/A,
ULHB-WG-100/150,N/A,N/A,
ULHB-WG-200/240,N/A,N/A,
ULHB-WG-300,N/A,N/A,
ULHB-FL-50/100/150,N/A,N/A,
ULHB-FL-200/240,N/A,N/A,
ULHB-SC-100/150,N/A,N/A,
ULHB-SC-200/240,N/A,N/A,
ULHB-SC-300,N/A,N/A,
ULHB-SMB-100/150,N/A,N/A,
ULHB-SMB-200/240,N/A,N/A,
ULHB-100W-50K-480V,100W,5000K,
LHB2-50W-50K,50W,5000K,
LHB2-50W-40K,50W,4000K,
LHB2-50W-30K,50W,3000K,
LHB2-50W-50K-WH,50W,5000K,
LHB2-50W-40K-WH,50W,4000K,
LHB2-50W-30K-WH,50W,3000K,
USHB-100W-50K,100W,5000K,
USHB-100W-40K,100W,4000K,
USHB-150W-50K,150W,5000K,
USHB-150W-40K,150W,4000K,
USHB-200W-50K,200W,5000K,
USHB-200W-40K,200W,4000K,
USHB-240W-50K,240W,5000K,
USHB-240W-40K,240W,4000K,
UFHB-150W-50K,150W,5000K,
UFHB-200W-50K,200W,5000K,
LLHB2-100W-50K-D,100W,5000K,
LLHB2-100W-40K-D,100W,4000K,
LLHB2-150W-40K-D,150W,4000K,
LLHB-90W-50K-D,90W,5000K,
LLHB-90W-40K-D,90W,4000K,
LLHB-120W-50K-D,100W,5000K,
LLHB-120W-40K-D,100W,4000K,
LLHB-180W-50K-D,150W,5000K,
LLHB-180W-40K-D,150W,4000K,
LLHB-240W-50K-D,220W,5000K,
LLHB-240W-40K-D,220W,4000K,
LLHB3-2FT-100W-50K-D,100W,5000K,
LLHB3-2FT-100W-40K-D,100W,4000K,
LLHB4-50W-40K-D,50W,4000K,
LLHB4-50W-50K-D,50W,5000K,
LLHB4-100W-40K-D,100W,4000K,
LLHB4-100W-50K-D,100W,5000K,
LLHB4-150W-40K-D,150W,4000K,
LLHB4-150W-50K-D,150W,5000K,
LLHB4-200W-MP-40K-D,100W/150W/200W,4000K,
LLHB4-200W-MP-50K-D,100W/150W/200W,5000K,
LLHB4-300W-40K-D,300W,4000K,
LLHB4-300W-50K-D,300W,5000K,
LLHB4-300W-MP-40K-D,200W/250W/300W,4000K,
LLHB4-300W-MP-50K-D,200W/250W/300W,5000K,
LLHB4-410W-50K-D,410W,5000K,
LLHB4-500W-50K-D,500W,5000K,
LLHB4-100W-WG,N/A,N/A,
LLHB4-150W-WG,N/A,N/A,
LLHB4-RODKIT,N/A,N/A,
MSO-IP66-I,N/A,N/A,
SK618,N/A,N/A,
SK618-RC,N/A,N/A,
HB-HOOK,N/A,N/A,
