SKU,family_count,family
LT-LEDMCL-1LN,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-2LN,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
DG-SWPQ,4,"Wattage Options,Voltage Options,Color Temperature (CCT),Lens Options"
LT-LEDMCL-3LN,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
DG-LWPQF1X29,3,"Voltage Options,Color Temperature (CCT),Lens Options"
LT-LEDMCL-4LN,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
DG-PF81QF1X100,2,"Voltage Options,Color Temperature (CCT)"
LT-LEDMCL-1LN-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-2LN-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-3LN-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
DG-AFRB20QF1X17,4,"Voltage Options,Color Temperature (CCT),Finish Options,Height Options"
LT-LEDMCL-4LN-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-1LM,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
ETH-B08-165W-H,1,"Color Temperature (CCT)"
ETH-WRP-4-22W,1,"Color Temperature (CCT)"
ETH-WRP-2-25W,1,"Color Temperature (CCT)"
LT-LEDMCL-2LM,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-3LM,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-4LM,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-1LM-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
LT-LEDMCL-2LM-Trimless,4,"Wattage Options,Color Temperature (CCT),Voltage Options,Beam Angle Options"
GC-40PAR56DIM,2,"Color Temperature (CCT),Beam Angle Options"
