sku,upc_ean,cost-USD,msrp-USD,imap-USD,mpn
WM-LTRD-2X2-MCTP,845060062700,54.90,92.78,79.74,LTRD-2X2-MCTP
WM-LTRD-2X4-MCTP,845060062717,82.90,138.78,118.74,LTRD-2X4-MCTP
WM-LVD-24-MCT5-BN,845060063646,41.90,72.78,64.74,LVD-24-MCT5-BN
WM-BOL-44-R-L-C-MCTP-BK,845060064056,180.90,315.78,280.74,BOL-44-R-L-C-MCTP-BK
WM-BOL-44-R-L-C-MCTP-BR,845060064063,180.90,315.78,280.74,BOL-44-R-L-C-MCTP-BR
WM-BOL-42-R-C-C-MCTP-BK,845060064070,165.90,290.78,257.74,BOL-42-R-C-C-MCTP-BK
WM-BOL-42-S-C-C-MCTP-BR,845060064100,191.90,334.78,297.74,BOL-42-S-C-C-MCTP-BR
WM-LWAX-MD-30W-50K,845060072853,65.90,114.78,99.74,LWAX-MD-30W-50K
WM-LFX-XS-15W-30K-KN,845060073058,23.90,42.78,37.74,LFX-XS-15W-30K-KN
WM-LFX-XS-15W-40K-KN,845060073065,23.90,42.78,37.74,LFX-XS-15W-40K-KN
WM-LFX-MD-15-50W-30K-KN,845060072525,50.90,88.78,78.74,LFX-MD-15-50W-30K-KN
WM-LFX-MD-15-50W-40K-KN,845060073973,50.90,88.78,78.74,LFX-MD-15-50W-40K-KN
WM-LFX-SM-10-30W-MCTP-TR,845060073119,52.90,92.78,81.74,LFX-SM-10-30W-MCTP-TR
WM-LFX-MD-15-50W-MCTP-TR,845060073102,64.90,112.78,99.74,LFX-MD-15-50W-MCTP-TR
WM-LFX-LG-50-150W-50K-480V,845060072594,167.90,295.78,261.74,LFX-LG-50-150W-50K-480V
WM-LFX-XL-150-300W-50K-480V,845060072617,257.90,450.78,399.74,LFX-XL-150-300W-50K-480V
WM-LFX-ASA,845060073348,32.00,50.78,45.74,LFX-ASA
WM-GSX-SRFC-80-150W-50K,845060072488,188.90,330.78,292.74,GSX-SRFC-80-150W-50K
WM-GSX-RECS-80-150W-50K,845060088984,181.90,319.78,282.74,GSX-RECS-80-150W-50K
WM-WMX-MD-20-50W-40K,845060072709,60.90,107.78,95.74,WMX-MD-20-50W-40K
WM-WMX-MD-20-80W-40K,845060072723,81.90,142.78,126.74,WMX-MD-20-80W-40K
WM-LF4PRO-50-150W-MCTP,845060073034,145.90,255.78,226.74,LF4PRO-50-150W-MCTP
WM-LLVT-4FT-40W-MCT-D-480V,845060075007,203.90,341.78,302.74,LLVT-4FT-40W-MCT-D-480V
WM-LLVT-4FT-75W-MCT-D-480V,845060075014,229.90,400.78,354.74,LLVT-4FT-75W-MCT-D-480V
WM-UHX-150W-MP-50K-480V,845060075090,190.90,333.78,291.74,UHX-150W-MP-50K-480V
WM-UHX-300W-MP-50K-480V,845060075113,318.90,557.78,487.74,UHX-300W-MP-50K-480V
WM-CL-EHL-12-27W-MCTP-E26,845060074536,27.90,49.78,43.74,CL-EHL-12-27W-MCTP-E26
WM-CL-EHL-36-54W-MCTP-E39,845060074543,44.90,80.78,71.74,CL-EHL-36-54W-MCTP-E39
WM-CL-EHL-80-120W-MCTP-E39,845060074550,96.90,168.78,149.74,CL-EHL-80-120W-MCTP-E39
WM-LRX-50-120W-MCTP,845060074376,178.90,312.78,277.74,LRX-50-120W-MCTP
WM-LFE-80W-MCT-D,845060077919,80.90,134.78,119.74,LFE-80W-MCT-D
WM-LFE-100W-MCT-D,845060077926,88.90,150.78,133.74,LFE-100W-MCT-D
