parent_sku,Child_sku,ProductId,Product Name,,,
TF-153A22L,TF-153A22L-J24W2700LDMV-40K,13445,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),4000K
TF-153A22L,TF-153A22L-J24W2700LDMV-50K,13446,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),5000K
TF-153A22L,TF-153A22L-J28W3200LDMV-30K,13447,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),3000K
TF-153A22L,TF-153A22L-J28W3200LDMV-35K,13448,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),3500K
TF-153A22L,TF-153A22L-J28W3200LDMV-40K,13449,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),4000K
TF-153A22L,TF-153A22L-J28W3200LDMV-50K,13450,[S]Wattage Options,28 Watts,[S]Color Temperature (CCT),5000K
TF-153A22L,TF-153A22L-J35W3900LDMV-30K,13451,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3000K
TF-153A22L,TF-153A22L-J35W3900LDMV-35K,13452,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3500K
TF-153A22L,TF-153A22L-J35W3900LDMV-40K,13453,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),4000K
TF-153A22L,TF-153A22L-J35W3900LDMV-50K,13454,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),5000K
TF-153A24L,TF-153A24L-J35W4600LDMV-30K,13455,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3000K
TF-153A24L,TF-153A24L-J35W4600LDMV-35K,13456,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),3500K
TF-153A24L,TF-153A24L-J35W4600LDMV-40K,13457,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),4000K
TF-153A24L,TF-153A24L-J35W4600LDMV-50K,13458,[S]Wattage Options,35 Watts,[S]Color Temperature (CCT),5000K
TF-153A24L,TF-153A24L-J48W6300LDMV-30K,13459,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-153A24L,TF-153A24L-J48W6300LDMV-35K,13460,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-153A24L,TF-153A24L-J48W6300LDMV-40K,13461,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K
TF-153A24L,TF-153A24L-J48W6300LDMV-50K,13462,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-153A24L,TF-153A24L-J57W7100LDMV-30K,13463,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),3000K
TF-153A24L,TF-153A24L-J57W7100LDMV-35K,13464,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),3500K
TF-153A24L,TF-153A24L-J57W7100LDMV-40K,13465,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),4000K
TF-153A24L,TF-153A24L-J57W7100LDMV-50K,13466,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),5000K
TF-200A248L,TF-200A248L-S48W5600LDMV-30K,13503,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-200A248L,TF-200A248L-S48W5600LDMV-35K,13504,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-200A248L,TF-200A248L-S48W5600LDMV-40K,13505,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K (recommended)
TF-200A248L,TF-200A248L-S48W5600LDMV-50K,13506,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-200A248L,TF-200A248L-S57W6500LDMV-30K,13507,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),3000K
TF-200A248L,TF-200A248L-S57W6500LDMV-35K,13508,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),3500K
TF-200A248L,TF-200A248L-S57W6500LDMV-40K,13509,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),4000K (recommended)
TF-200A248L,TF-200A248L-S57W6500LDMV-50K,13510,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),5000K
TF-200A296L,TF-200A296L-S97W11200LDMV-30K,13541,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),3000K
TF-200A296L,TF-200A296L-S97W11200LDMV-35K,13542,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),3500K
TF-200A296L,TF-200A296L-S97W11200LDMV-40K,13543,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),4000K (recommended)
TF-200A296L,TF-200A296L-S97W11200LDMV-50K,13544,[S]Wattage Options,97 Watts,[S]Color Temperature (CCT),5000K
TF-200A296L,TF-200A296L-S114W13000LDMV-30K,13545,[S]Wattage Options,114 Watts,[S]Color Temperature (CCT),3000K
TF-200A296L,TF-200A296L-S114W13000LDMV-35K,13546,[S]Wattage Options,114 Watts,[S]Color Temperature (CCT),3500K
TF-200A296L,TF-200A296L-S114W13000LDMV-40K,13547,[S]Wattage Options,114 Watts,[S]Color Temperature (CCT),4000K (recommended)
TF-200A296L,TF-200A296L-S114W13000LDMV-50K,13548,[S]Wattage Options,114 Watts,[S]Color Temperature (CCT),5000K
TF-201A48L,TF-201A48L-S24W2800LDMV-30K,13561,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),3000K
TF-201A48L,TF-201A48L-S24W2800LDMV-35K,13562,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),3500K
TF-201A48L,TF-201A48L-S24W2800LDMV-40K,13563,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),4000K
TF-201A48L,TF-201A48L-S24W2800LDMV-50K,13564,[S]Wattage Options,24 Watts,[S]Color Temperature (CCT),5000K
TF-201A48L,TF-201A48L-S32W4000LDMV-30K,13565,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3000K
TF-201A48L,TF-201A48L-S32W4000LDMV-35K,13566,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),3500K
TF-201A48L,TF-201A48L-S32W4000LDMV-40K,13567,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),4000K
TF-201A48L,TF-201A48L-S32W4000LDMV-50K,13568,[S]Wattage Options,32 Watts,[S]Color Temperature (CCT),5000K
TF-201A48L,TF-201A48L-S48W5700LDMV-30K,13569,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-201A48L,TF-201A48L-S48W5700LDMV-35K,13571,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-201A48L,TF-201A48L-S48W5700LDMV-40K,13573,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K
TF-201A48L,TF-201A48L-S48W5700LDMV-50K,13574,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-201A48L,TF-201A48L-H72W8700LDMV-30K,13576,[S]Wattage Options,72 Watts,[S]Color Temperature (CCT),3000K
