sku,upc_ean,cost-USD,msrp-USD,imap-USD
WM-LF-AD-SF,845060043747,38.98,61.78,54.74
WM-LF5-EXTARM,845060006926,10.70,16.78,15.74
WM-EXPF-30W-60K,845060031461,208.90,365.78,323.74
WM-EXPF-100W-60K,845060031478,401.90,701.78,622.74
WM-EXPF-180W-60K,845060031485,659.90,1152.78,1022.74
WM-LF-AD-SF-GY,845060033090,75.98,120.78,106.74
WM-SOLF-17W-50K,845060012279,300.90,525.78,475.74
WM-SOLF-36W-50K,845060012286,592.90,1036.78,938.74
WM-SOLF-54W-50K,845060012293,807.90,1413.78,1279.74
WM-SOLF-SFA,845060012309,56.98,90.78,81.74
WM-SOLF-WM-17W,845060012330,21.38,33.78,30.74
WM-SOLF-WM-36W/54W,845060012781,32.98,52.78,47.74
WM-SOLF-PMR-17W,845060012316,28.98,46.78,41.74
WM-SOLF-PMR-36W/54W,845060012798,54.98,87.78,79.74
WM-SOLF-PMS-17W,845060012323,28.98,46.78,41.74
WM-SOLF-PMS-36W/54W,845060012804,54.98,87.78,79.74
WM-SOLF-RC,845060018967,44.98,71.78,64.74
WM-STL2-30W-30K,845060053036,102.94,163.78,148.74
WM-STL2-30W-50K,845060053043,102.94,163.78,148.74
WM-STL2-50W-30K,845060045574,134.94,214.78,189.74
WM-STL3-50W-50K,845060088977,134.94,214.78,189.74
WM-STL2-80W-30K,845060045628,186.94,296.78,263.74
WM-STL2-80W-50K,845060045598,186.94,296.78,263.74
WM-STL2-100W-30K,845060045581,195.94,311.78,275.74
WM-STL2-100W-50K,845060033120,195.94,311.78,275.74
WM-STL2-150W-30K,845060045635,272.94,433.78,384.74
WM-STL3-150W-50K,845060072907,272.94,433.78,384.74
WM-STL2-200W-30K,845060045727,318.94,506.78,449.74
WM-STL3-200W-50K,845060072914,318.94,506.78,449.74
WM-STL2-90W-50K-480V,845060033137,223.94,355.78,315.74
WM-STL2-150W-50K-480V,845060033151,355.94,565.78,501.74
WM-STL2-200W-50K-480V,845060033205,393.94,625.78,554.74
WM-STL2-WMA,845060035483,38.98,61.78,54.74
WM-GS-CANOPY-150W-50K,845060046892,172.98,274.78,243.74
WM-GS-CANOPY-SMB,845060008272,96.98,154.78,136.74
WM-CDX-35W-35K-BR,845060053609,82.90,144.78,130.74
WM-CDX-35W-35K-WH,845060053630,82.90,144.78,130.74
WM-CDX-35W-40K-BR,845060053616,82.90,144.78,130.74
WM-CDX-35W-40K-WH,845060053647,82.90,144.78,130.74
WM-CDX-35W-50K-BR,845060053623,82.90,144.78,130.74
WM-CDX-35W-50K-WH,845060053654,82.90,144.78,130.74
WM-CDX-55W-35K-BR,845060053661,90.90,160.78,145.74
WM-CDX-55W-35K-WH,845060053692,90.90,160.78,145.74
WM-CDX-55W-40K-BR,845060053678,90.90,160.78,145.74
WM-CDX-55W-40K-WH,845060053708,90.90,160.78,145.74
WM-CDX-55W-50K-BR,845060053685,90.90,160.78,145.74
WM-CDX-55W-50K-WH,845060053715,90.90,160.78,145.74
WM-CDL2-25CW,845060034042,50.98,80.78,70.74
WM-CDL2-60NW,845060003284,96.98,154.78,134.74
WM-CDL2-60WW,845060004427,96.98,154.78,134.74
WM-CDL2-45CW-M,845060004649,91.98,146.78,127.74
WM-CGL-40W-50K,845060026290,53.90,93.78,81.74
WM-CGL-40W-40K,845060026306,53.90,93.78,81.74
WM-CGL-55W-50K,845060026313,63.90,111.78,97.74
WM-CGL-55W-40K,845060026320,63.90,111.78,97.74
WM-CGL-75W-50K,845060026337,74.90,131.78,115.74
WM-CGL-75W-40K,845060026344,74.90,131.78,115.74
WM-CGL-100W-50K,845060026351,100.90,177.78,155.74
WM-CGL-100W-40K,845060026368,100.90,177.78,155.74
WM-CGL-FL1,845060026375,11.66,20.78,17.74
WM-CGL-FL2,845060026382,11.66,20.78,17.74
WM-LR2-50NW-P,845060008395,72.90,126.78,112.74
WM-LR2-80CW-P,845060035810,145.94,231.78,205.74
WM-LR-ECO-20W-50K-P,845060015799,28.90,52.78,46.74
WM-LR-ECO-20W-30K-P,845060015782,28.90,52.78,46.74
WM-LR-ECO-ARM,845060015805,9.61,15.78,13.74
WM-GL-12V-12W-30K-BR,845060059021,43.90,77.78,70.74
WM-GL-12V-12W-40K-BR,845060059038,43.90,77.78,70.74
WM-GL-12V-12W-50K-BR,845060059045,43.90,77.78,70.74
