parent_sku,child_sku,"Lens Options","Color Temperature (CCT)"
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-50K-F,Frosted,5000K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-30K-C,Clear,3000K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-30K-F,Frosted,3000K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-35K-C,Clear,3500K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-35K-F,Frosted,3500K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-40K-C,Clear,4000K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-40K-F,Frosted,4000K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-50K-C,Clear,5000K
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-50K-F,Frosted,5000K
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-40K-C,Clear,4000K
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-40K-F,Frosted,4000K
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-50K-C,Clear,5000K
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-50K-F,Frosted,5000K
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-40W-40K-C,Clear,4000K
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-40W-40K-F,Frosted,4000K
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-50W-40K-C,Clear,5000K
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-50W-40K-F,Frosted,5000K
