parent_sku,child_sku,"Wattage Options","Color Temperature (CCT)"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-40K,"24 Watts",4000K
TF-EWW24L,TF-EWW24L-J24W1600LDMV-50K,"24 Watts",5000K
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-30K,"35 Watts",3000K
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-35K,"35 Watts",3500K
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-40K,"35 Watts",4000K
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-50K,"35 Watts",5000K
TF-EWW48L,TF-EWW48L-J48W3500LDMV-30K,"48 Watts",3000K
TF-EWW48L,TF-EWW48L-J48W3500LDMV-35K,"48 Watts",3500K
TF-EWW48L,TF-EWW48L-J48W3500LDMV-40K,"48 Watts",4000K
TF-EWW48L,TF-EWW48L-J48W3500LDMV-50K,"48 Watts",5000K
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-30K,"57 Watts",3000K
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-35K,"57 Watts",3500K
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-40K,"57 Watts",4000K
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-50K,"57 Watts",5000K
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-30KWH,"28 Watts",3000K
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-35KWH,"28 Watts",3500K
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-40KWH,"28 Watts",4000K
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-50KWH,"28 Watts",5000K
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-30KWH,"35 Watts",3000K
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-35KWH,"35 Watts",3500K
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-40KWH,"35 Watts",4000K
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-50KWH,"35 Watts",5000K
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-30KWH,"57 Watts",3000K
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-35KWH,"57 Watts",3500K
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-40KWH,"57 Watts",4000K
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-50KWH,"57 Watts",5000K
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-30KWH,"72 Watts",3000K
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-35KWH,"72 Watts",3500K
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-40KWH,"72 Watts",4000K
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-50KWH,"72 Watts",5000K
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-30K,"40 Watts",3000K
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-35K,"40 Watts",3500K
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-40K,"40 Watts",4000K
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-50K,"40 Watts",5000K
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-30K,"72 Watts",3000K
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-35K,"72 Watts",3500K
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-40K,"72 Watts",4000K
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-50K,"72 Watts",5000K
TF-LVS696L,TF-LVS696L-J48W4000LDMV-30KWHHC3015WH,"48 Watts",3000K
TF-LVS696L,TF-LVS696L-J48W4000LDMV-35KWHHC3015WH,"48 Watts",3500K
TF-LVS696L,TF-LVS696L-J48W4000LDMV-40KWHHC3015WH,"48 Watts","4000K (recommended)"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-50KWHHC3015WH,"48 Watts",5000K
TF-LVS696L,TF-LVS696L-J96W8000LDMV-30KWHHC3015WH,"96 Watts",3000K
TF-LVS696L,TF-LVS696L-J96W8000LDMV-35KWHHC3015WH,"96 Watts",3500K
TF-LVS696L,TF-LVS696L-J96W8000LDMV-40KWHHC3015WH,"96 Watts","4000K (recommended)"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-50KWHHC3015WH,"96 Watts",5000K
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-30KWHHC3015WH,"114 Watts",3000K
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-35KWHHC3015WH,"114 Watts",3500K
