product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Lumen Options","Color Temperature (CCT)","Size Options","Size & Wattage Options","Finish Options","Wattage Options","End Cap Options","Voltage Rating	Options","Beam Angle Options","Fixture Options","Base Type Options","Voltage Options","Input Voltage Options","Connector Type Options","Lens Options","Main Cable Length","Wattage and Lumen Options","Wattage & Voltage Options","Finial & Globe Options","Select Options","Wattage Up/Down Options","Cable Options"
7316,T1-IHBLED2,T1-IHBLED2-B/81-50K,135.72,135.72,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/101-40K,140.02,140.02,,,,0,,,,"25.5"" x 15.2"" x 2.1"" / 101 Watts",,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/101-40K,140.02,140.02,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/101-50K,140.02,140.02,,,,0,,,,"25.5"" x 15.2"" x 2.1"" / 101 Watts",,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/101-50K,140.02,140.02,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/161-40K,217.17,217.17,,,,0,,,,"25.5"" x 18.1"" x 2.1"" / 161 Watts",,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/161-40K,217.17,217.17,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/161-50K,217.17,217.17,,,,0,,,,"25.5"" x 18.1"" x 2.1"" / 161 Watts",,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/161-50K,217.17,217.17,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/201-40K,240,240,,,,0,,,,"25.5"" x 18.1"" x 2.1"" / 201 Watts",,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/201-40K,240,240,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/201-50K,240,240,,,,0,,,,"25.5"" x 18.1"" x 2.1"" / 201 Watts",,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/201-50K,240,240,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7325,SU-LFX/RDL/4R/10W/E/D,SU-LFX/RDL/4R/10W/E/D-30K,14.95,14.95,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7325,SU-LFX/RDL/4R/10W/E/D,SU-LFX/RDL/4R/10W/E/D-40K,14.95,14.95,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7325,SU-LFX/RDL/4R/10W/E/D,SU-LFX/RDL/4R/10W/E/D-50K,14.95,14.95,,,,0,,"5000K (Super White)",,,,,,,,,,,,,,,,,,,,
7327,SU-LFX/RDL/5/6S/15W/DIM/E,SU-LFX/RDL/5/6S/15W/DIM/E-30K,19.25,19.25,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7327,SU-LFX/RDL/5/6S/15W/DIM/E,SU-LFX/RDL/5/6S/15W/DIM/E-40K,19.25,19.25,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7328,SU-LFX/RDL/4S/10W/D/E,SU-LFX/RDL/4S/10W/D/E-30K,14.2,14.2,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7328,SU-LFX/RDL/4S/10W/D/E,SU-LFX/RDL/4S/10W/D/E-40K,14.2,14.2,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7332,SU-MKS/NDL/8R,SU-MKS/NDL/8R-30K,284.15,284.15,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7332,SU-MKS/NDL/8R,SU-MKS/NDL/8R-40K,284.15,284.15,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7348,SU-LFX/CS,SU-LFX/CS-WH/E/D/30K,56.55,56.55,,,,0,,,,,White,,,,,,,,,,,,,,,,,
7348,SU-LFX/CS,SU-LFX/CS-BK/E/D/30K,56.55,56.55,,,,0,,,,,Black,,,,,,,,,,,,,,,,,
7358,SU-LFX/HM/BN/D,SU-LFX/HM/BN/D-30K,47.85,47.85,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7358,SU-LFX/HM/BN/D,SU-LFX/HM/BN/D-40K,47.85,47.85,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7359,SU-LFX/HC/BN/23W/E,SU-LFX/HC/BN/23W/E-30K,60.4,60.4,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7359,SU-LFX/HC/BN/23W/E,SU-LFX/HC/BN/23W/E-40K,60.4,60.4,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-ORB/E/D/15W-30K,19.35,19.35,,,,0,,,,,"Oil Rubbed Bronze",,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-ORB/E/D/15W-30K,19.35,19.35,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-ORB/E/D/15W-40K,19.35,19.35,,,,0,,,,,"Oil Rubbed Bronze",,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-ORB/E/D/15W-40K,19.35,19.35,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-BN/E/D/15W-30K,19.35,19.35,,,,0,,,,,"Brushed Nickel",,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-BN/E/D/15W-30K,19.35,19.35,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-BN/E/D/15W-40K,19.35,19.35,,,,0,,,,,"Brushed Nickel",,,,,,,,,,,,,,,,,
7371,SU-LFX/DCO7/MINI,SU-LFX/DCO7/MINI-BN/E/D/15W-40K,19.35,19.35,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7382,SU-LFX/DCO12,SU-LFX/DCO12-ORB/E/D/P/30K,51.4,51.4,,,,0,,,,,"Oil Rubbed Bronze",,,,,,,,,,,,,,,,,
7382,SU-LFX/DCO12,SU-LFX/DCO12-BN/E/D/P/30K,51.4,51.4,,,,0,,,,,"Brushed Nickel",,,,,,,,,,,,,,,,,
7383,SU-LFX/DCO12/P,SU-LFX/DCO12/P-BN/30K,51.4,51.4,,,,0,,,,,"Brushed Nickel",,,,,,,,,,,,,,,,,
7383,SU-LFX/DCO12/P,SU-LFX/DCO12/P-ORB/30K,51.4,51.4,,,,0,,,,,"Oil Rubbed Bronze",,,,,,,,,,,,,,,,,
7390,SU-LFX/DCO18/BN/28W/E/D,SU-LFX/DCO18/BN/28W/E/D-30K,61.7,61.7,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7390,SU-LFX/DCO18/BN/28W/E/D,SU-LFX/DCO18/BN/28W/E/D-40K,61.7,61.7,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7392,SU-LFX/DCO16/BN/24W/E/D,SU-LFX/DCO16/BN/24W/E/D-30K,51.4,51.4,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7392,SU-LFX/DCO16/BN/24W/E/D,SU-LFX/DCO16/BN/24W/E/D-40K,51.4,51.4,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7393,SU-LFX/DCO14/BN/21W/E/D,SU-LFX/DCO14/BN/21W/E/D-30K,41.35,41.35,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7393,SU-LFX/DCO14/BN/21W/E/D,SU-LFX/DCO14/BN/21W/E/D-40K,41.35,41.35,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7394,SU-LFX/DCO12/BN/15W/E/D,SU-LFX/DCO12/BN/15W/E/D-30K,38.55,38.55,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7394,SU-LFX/DCO12/BN/15W/E/D,SU-LFX/DCO12/BN/15W/E/D-40K,38.55,38.55,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7395,SU-LFX/DCO10/BN/15W/E/D,SU-LFX/DCO10/BN/15W/E/D-30K,32.1,32.1,,,,0,,"3000K (Warm White)",,,,,,,,,,,,,,,,,,,,
7395,SU-LFX/DCO10/BN/15W/E/D,SU-LFX/DCO10/BN/15W/E/D-40K,32.1,32.1,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-WHHC3015WWH,242.86,242.86,,,,0,,,,,,"24 Watts",,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-WHHC3015WWH,242.86,242.86,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-WHHC3015WWH,242.86,242.86,,,,0,,,,,,,White,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-BLHC3015WWH,242.86,242.86,,,,0,,,,,,"24 Watts",,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-BLHC3015WWH,242.86,242.86,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-BLHC3015WWH,242.86,242.86,,,,0,,,,,,,Blue,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-BKHC3015WWH,242.86,242.86,,,,0,,,,,,"24 Watts",,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-BKHC3015WWH,242.86,242.86,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-30K-BKHC3015WWH,242.86,242.86,,,,0,,,,,,,Black,,,,,,,,,,,,,,,
7396,TF-CORFR48L,TF-CORFR48L-J24W2050LDMV-35K-WHHC3015WWH,242.86,242.86,,,,0,,,,,,"24 Watts",,,,,,,,,,,,,,,,
