product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","Light Source Options","Select Light Source","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options"
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS11,120.55,120.55,,,,0,,,"3500K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS11,120.55,120.55,,,,0,,,,"12’ 3/18 Cord, 120V 3-WIRE, NEMA 5-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS12,123.45,123.45,,,,0,,,"3500K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI835-CS12,123.45,123.45,,,,0,,,,"8’ Cordset 277V, 3-WIRE, NEMA L7-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS08,116.3,116.3,,,,0,,,"4100K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS08,116.3,116.3,,,,0,,,,"8’ 3/18 Cord, no plug",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS,117.8,117.8,,,,0,,,"4100K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS,117.8,117.8,,,,0,,,,"8’ Cordset 120V, 3-WIRE, NEMA 5-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS10,117,117,,,,0,,,"4100K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS10,117,117,,,,0,,,,"12’ 3/18 Cord, no plug",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS11,120.55,120.55,,,,0,,,"4100K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS11,120.55,120.55,,,,0,,,,"12’ 3/18 Cord, 120V 3-WIRE, NEMA 5-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS12,123.45,123.45,,,,0,,,"4100K 85 CRI",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI841-CS12,123.45,123.45,,,,0,,,,"8’ Cordset 277V, 3-WIRE, NEMA L7-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS08,116.3,116.3,,,,0,,,"5000K 85 CRI (Recommended)",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS08,116.3,116.3,,,,0,,,,"8’ 3/18 Cord, no plug",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS,117.8,117.8,,,,0,,,"5000K 85 CRI (Recommended)",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS,117.8,117.8,,,,0,,,,"8’ Cordset 120V, 3-WIRE, NEMA 5-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS10,117,117,,,,0,,,"5000K 85 CRI (Recommended)",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS10,117,117,,,,0,,,,"12’ 3/18 Cord, no plug",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS11,120.55,120.55,,,,0,,,"5000K 85 CRI (Recommended)",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS11,120.55,120.55,,,,0,,,,"12’ 3/18 Cord, 120V 3-WIRE, NEMA 5-15P",,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS12,123.45,123.45,,,,0,,,"5000K 85 CRI (Recommended)",,,,,,,,,,
828,TF-CITLB254MV,TF-CITLB254MV-LI850-CS12,123.45,123.45,,,,0,,,,"8’ Cordset 277V, 3-WIRE, NEMA L7-15P",,,,,,,,,
834,TF-CV8001,TF-CV8001-17MV,305.72,305.72,,,,0,,,,,"1 lamp 17W T8 2 ft. fixture",,,,,,,,
834,TF-CV8001,TF-CV8001-32MV,305.72,305.72,,,,0,,,,,"1 lamp 32W T8 4 ft. fixture",,,,,,,,
840,TF-CV8002,TF-CV8002-17MV,311.43,311.43,,,,0,,,,,,"2 lamp 17W T8 2ft. fixture",,,,,,,
840,TF-CV8002,TF-CV8002-32MV,311.43,311.43,,,,0,,,,,,"2 lamp 32W T8 4 ft. fixture",,,,,,,
858,TF-ECLMW217S,TF-ECLMW217S-WH,94.3,94.3,,,,0,,,,,,,White,,,,,,
858,TF-ECLMW217S,TF-ECLMW217S-WM,94.3,94.3,,,,0,,,,,,,"White Marble",,,,,,
858,TF-ECLMW217S,TF-ECLMW217S-IM,94.3,94.3,,,,0,,,,,,,"Ivory Marble",,,,,,
858,TF-ECLMW217S,TF-ECLMW217S-BM,94.3,94.3,,,,0,,,,,,,"Black Marble",,,,,,
858,TF-ECLMW217S,TF-ECLMW217S-SI,94.3,94.3,,,,0,,,,,,,Silver,,,,,,
858,TF-ECLMW217S,TF-ECLMW217S-TO,94.3,94.3,,,,0,,,,,,,Tortoise,,,,,,
895,TF-ECLMW232S,TF-ECLMW232S-WH,100,100,,,,0,,,,,,,White,,,,,,
895,TF-ECLMW232S,TF-ECLMW232S-WM,100,100,,,,0,,,,,,,"White Marble",,,,,,
895,TF-ECLMW232S,TF-ECLMW232S-IM,100,100,,,,0,,,,,,,"Ivory Marble",,,,,,
895,TF-ECLMW232S,TF-ECLMW232S-BM,100,100,,,,0,,,,,,,"Black Marble",,,,,,
895,TF-ECLMW232S,TF-ECLMW232S-SL,100,100,,,,0,,,,,,,Silver,,,,,,
895,TF-ECLMW232S,TF-ECLMW232S-TO,100,100,,,,0,,,,,,,Tortoise,,,,,,
896,TF-ECLMW417S,TF-ECLMW417S-WH,144.3,144.3,,,,0,,,,,,,White,,,,,,
896,TF-ECLMW417S,TF-ECLMW417S-WM,144.3,144.3,,,,0,,,,,,,"White Marble",,,,,,
896,TF-ECLMW417S,TF-ECLMW417S-IM,144.3,144.3,,,,0,,,,,,,"Ivory Marble",,,,,,
896,TF-ECLMW417S,TF-ECLMW417S-BM,144.3,144.3,,,,0,,,,,,,"Black Marble",,,,,,
896,TF-ECLMW417S,TF-ECLMW417S-SI,144.3,144.3,,,,0,,,,,,,Silver,,,,,,
896,TF-ECLMW417S,TF-ECLMW417S-TO,144.3,144.3,,,,0,,,,,,,Tortoise,,,,,,
897,TF-ECLMW432S,TF-ECLMW432S-WH,147.15,147.15,,,,0,,,,,,,White,,,,,,
897,TF-ECLMW432S,TF-ECLMW432S-WM,147.15,147.15,,,,0,,,,,,,"White Marble",,,,,,
897,TF-ECLMW432S,TF-ECLMW432S-IM,147.15,147.15,,,,0,,,,,,,"Ivory Marble",,,,,,
897,TF-ECLMW432S,TF-ECLMW432S-BM,147.15,147.15,,,,0,,,,,,,"Black Marble",,,,,,
897,TF-ECLMW432S,TF-ECLMW432S-SL,147.15,147.15,,,,0,,,,,,,Silver,,,,,,
897,TF-ECLMW432S,TF-ECLMW432S-TO,147.15,147.15,,,,0,,,,,,,Tortoise,,,,,,
898,TF-ECLA217S,TF-ECLA217S-WH,102.86,102.86,,,,0,,,,,,,White,,,,,,
898,TF-ECLA217S,TF-ECLA217S-WM,102.86,102.86,,,,0,,,,,,,"White Marble",,,,,,
898,TF-ECLA217S,TF-ECLA217S-IM,102.86,102.86,,,,0,,,,,,,"Ivory Marble",,,,,,
