product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage Options","Color Temperature (CCT)","Fixture Options","Beam Angle Options","Connector Type Options","Finish Options","Letter Color Options","Wattage & Lumen Options","Trimplate Options","Length & Wattage Options","Lens Options","Occupancy Sensor","Trim Options","Sensor Options","Battery Options","Size & Wattage Options","Size, Wattage & Lumen Options","Factory Installed Lamps","Mounting Kit","Wiring Options","Voltage Options","Control Options","Fixture Configuration","Mounting Options","Photo Cell","Wattage and Lumen Options","Square Trims Ring Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options"
11359,LOD-T88FT-38W,"LOD-T88FT-38W50KPAF B (G13)",16.43,16.43,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11361,LOD-EXT82FD-10W,LOD-EXT82FD-10W40KF-1,10.35,10.35,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11361,LOD-EXT82FD-10W,LOD-EXT82FD-10W50KF-1,10.35,10.35,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369,LOD-2FTSL22WDF,LOD-2FTSL22WDF-30K-V2,,43.93,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369,LOD-2FTSL22WDF,LOD-2FTSL22WDF-50K-V2,,43.93,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11371,TPZ-SDL4/12,TPZ-SDL4/12-930/D-28,,10.72,10.72,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11371,TPZ-SDL4/12,TPZ-SDL4/12-940/D-28,,10.72,10.72,,,0,,40000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11372,LOD-RGAL-100W-50KD,LOD-RGAL-100W-50KD-12,221.8,221.8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120-277V,
11372,LOD-RGAL-100W-50KD,LOD-RGAL-100W-50KD-34,277.85,277.85,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347-480V,
11384,LOD-MTRT-2FT25WX2,LOD-MTRT-2FT25WX2-40,,35,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11384,LOD-MTRT-2FT25WX2,LOD-MTRT-2FT25WX2-50,,35,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-40K,43.93,43.93,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36W / 6,262lm"
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-40K,43.93,43.93,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-50K,40.36,40.36,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36W / 6,262lm"
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-50K,40.36,40.36,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-40K,47.86,47.86,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50 / 6482lm"
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-40K,47.86,47.86,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-50K,47.86,47.86,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50 / 6482lm"
11385,LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-50K,47.86,47.86,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11397,LOD-U2FT-15W,LOD-U2FT-15W-40,,15.75,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11397,LOD-U2FT-15W,LOD-U2FT-15W-50,,15.75,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11400,LOD-GDHB,LOD-GDHB-150W50KD-HV,166.79,166.79,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150W / 22,845lm"
11400,LOD-GDHB,LOD-GDHB-200W50KD-HV,208.22,208.22,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200W / 31,264lm"
11400,LOD-GDHB,LOD-GDHB-250W50KD-HV,225,225,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250W / 37,710lm"
11402,LOD-DL4EB-10W,LOD-DL4EB-10W-30,,16.8,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11402,LOD-DL4EB-10W,LOD-DL4EB-10W-50,,16.8,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11405,"LOD-G1 120V-40W_PAR56-DIM 15D/25D 25D","LOD-G1 120V-40W_PAR56-DIM 15D/25D 25D-3K",,46.1,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11405,"LOD-G1 120V-40W_PAR56-DIM 15D/25D 25D","LOD-G1 120V-40W_PAR56-DIM 15D/25D 25D-4K",,46.1,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11405,"LOD-G1 120V-40W_PAR56-DIM 15D/25D 25D","LOD-G1 120V-40W_PAR56-DIM 15D/25D 25D-5K",,46.1,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
