"id","product_id","parent_sku","child_sku"
"80","2378","TF-153A24L","TF-153A24L-J35W4600LDMV-30K,TF-153A24L-J35W4600LDMV-35K,TF-153A24L-J35W4600LDMV-40K,TF-153A24L-J35W4600LDMV-50K,TF-153A24L-J48W6300LDMV-30K,TF-153A24L-J48W6300LDMV-35K,TF-153A24L-J48W6300LDMV-40K,TF-153A24L-J48W6300LDMV-50K,TF-153A24L-J57W7100LDMV-30K,TF-153A24L-J57W7100LDMV-35K,TF-153A24L-J57W7100LDMV-40K,TF-153A24L-J57W7100LDMV-50K"
"81","2382","EN-880111","EN-880111-I,EN-880111-W"
"82","2383","TF-200A224LS28W3300LDMV","TF-200A224LS28W3300LDMV-30K,TF-200A224LS28W3300LDMV-35K,TF-200A224LS28W3300LDMV-40K,TF-200A224LS28W3300LDMV-50K"
"83","2384","EN-8661","EN-8661-I,EN-8661-W"
"84","2385","EN-84150","EN-84150-I,EN-84150-W"
"85","2387","DG-HLF25QF1X132U","DG-HLF25QF1X132U-4K-CGY,DG-HLF25QF1X132U-5K-CGY"
"86","2390","TF-200A424LS48W6000LDMV","TF-200A424LS48W6000LDMV-30K,TF-200A424LS48W6000LDMV-35K,TF-200A424LS48W6000LDMV-40K,TF-200A424LS48W6000LDMV-50K"
"87","2394","TF-200A248L","TF-200A248L-S48W5600LDMV-30K,TF-200A248L-S48W5600LDMV-35K,TF-200A248L-S48W5600LDMV-40K,TF-200A248L-S48W5600LDMV-50K,TF-200A248L-S57W6500LDMV-30K,TF-200A248L-S57W6500LDMV-35K,TF-200A248L-S57W6500LDMV-40K,TF-200A248L-S57W6500LDMV-50K"
"88","2403","TF-200A296L","TF-200A296L-S97W11200LDMV-30K,TF-200A296L-S97W11200LDMV-35K,TF-200A296L-S97W11200LDMV-40K,TF-200A296L-S97W11200LDMV-50K,TF-200A296L-S114W13000LDMV-30K,TF-200A296L-S114W13000LDMV-35K,TF-200A296L-S114W13000LDMV-40K,TF-200A296L-S114W13000LDMV-50K"
"89","2410","TF-201A48L","TF-201A48L-S24W2800LDMV-30K,TF-201A48L-S24W2800LDMV-35K,TF-201A48L-S24W2800LDMV-40K,TF-201A48L-S24W2800LDMV-50K,TF-201A48L-S32W4000LDMV-30K,TF-201A48L-S32W4000LDMV-35K,TF-201A48L-S32W4000LDMV-40K,TF-201A48L-S32W4000LDMV-50K,TF-201A48L-S48W5700LDMV-30K,TF-201A48L-S48W5700LDMV-35K,TF-201A48L-S48W5700LDMV-40K,TF-201A48L-S48W5700LDMV-50K,TF-201A48L-H72W8700LDMV-30K,TF-201A48L-H72W8700LDMV-35K,TF-201A48L-H72W8700LDMV-40K,TF-201A48L-H72W8700LDMV-50K"
