id,parent_sku,product_id,description,image_file,url_zoom,url_standard,url_thumbnail,url_tiny
11397,TF-CLLLBF,6274,"Series CLLLBF LED Linear DirectIndirect Lighting Channel",j/796/series_clllbf_led_linear_directindirect_lighting_channel_4__56390.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11397/series_clllbf_led_linear_directindirect_lighting_channel_4__56390.1626267704.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11397/series_clllbf_led_linear_directindirect_lighting_channel_4__56390.1626267704.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11397/series_clllbf_led_linear_directindirect_lighting_channel_4__56390.1626267704.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6274/images/11397/series_clllbf_led_linear_directindirect_lighting_channel_4__56390.1626267704.44.58.jpg?c=1
11404,EE-SSLLSL,6277,"Super Slim LED Linear Strip Luminaire, 4 Foot",l/618/super_slim_led_linear_strip_luminaire_4_foot__15815.png,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11404/super_slim_led_linear_strip_luminaire_4_foot__15815.1626267900.1280.1280.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11404/super_slim_led_linear_strip_luminaire_4_foot__15815.1626267900.386.513.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11404/super_slim_led_linear_strip_luminaire_4_foot__15815.1626267900.220.290.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11404/super_slim_led_linear_strip_luminaire_4_foot__15815.1626267900.44.58.png?c=1
11405,EE-SSLLSL,6277,"Super Slim LED Linear Strip Luminaire, 4 Foot",m/234/super_slim_led_linear_strip_luminaire_4_foot_2__57458.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11405/super_slim_led_linear_strip_luminaire_4_foot_2__57458.1626267901.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11405/super_slim_led_linear_strip_luminaire_4_foot_2__57458.1626267901.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11405/super_slim_led_linear_strip_luminaire_4_foot_2__57458.1626267901.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11405/super_slim_led_linear_strip_luminaire_4_foot_2__57458.1626267901.44.58.jpg?c=1
11406,EE-SSLLSL,6277,"Super Slim LED Linear Strip Luminaire, 4 Foot Size",p/993/super_slim_led_linear_strip_luminaire_4_foot_size__79398.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11406/super_slim_led_linear_strip_luminaire_4_foot_size__79398.1626267902.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11406/super_slim_led_linear_strip_luminaire_4_foot_size__79398.1626267902.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11406/super_slim_led_linear_strip_luminaire_4_foot_size__79398.1626267902.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6277/images/11406/super_slim_led_linear_strip_luminaire_4_foot_size__79398.1626267902.44.58.jpg?c=1
11407,EE-SLTRK24-33W,6278,"Slim LED Troffer Retrofit Kit with Hinged Door",r/953/slim_led_troffer_retrofit_kit_with_hinged_door__36228.png,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11407/slim_led_troffer_retrofit_kit_with_hinged_door__36228.1626267928.1280.1280.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11407/slim_led_troffer_retrofit_kit_with_hinged_door__36228.1626267928.386.513.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11407/slim_led_troffer_retrofit_kit_with_hinged_door__36228.1626267928.220.290.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11407/slim_led_troffer_retrofit_kit_with_hinged_door__36228.1626267928.44.58.png?c=1
11409,EE-SLTRK24-33W,6278,"Slim 2x4 LED Troffer Retrofit Kit with Hinged Door Size",z/844/slim_2x4_led_troffer_retrofit_kit_with_hinged_door_size__08618.png,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11409/slim_2x4_led_troffer_retrofit_kit_with_hinged_door_size__08618.1626267930.1280.1280.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11409/slim_2x4_led_troffer_retrofit_kit_with_hinged_door_size__08618.1626267930.386.513.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11409/slim_2x4_led_troffer_retrofit_kit_with_hinged_door_size__08618.1626267930.220.290.png?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6278/images/11409/slim_2x4_led_troffer_retrofit_kit_with_hinged_door_size__08618.1626267930.44.58.png?c=1
11424,DG-FB1,6291,"Astra LED Pendant",g/548/duraguard_astra_led_pendant__38130.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11424/duraguard_astra_led_pendant__38130.1661482677.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11424/duraguard_astra_led_pendant__38130.1661482677.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11424/duraguard_astra_led_pendant__38130.1661482677.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11424/duraguard_astra_led_pendant__38130.1661482677.44.58.jpg?c=1
11425,DG-FB1,6291,"Astra LED Pendant",o/743/duraguard_astra_led_pendant_3__70181.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11425/duraguard_astra_led_pendant_3__70181.1661482677.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11425/duraguard_astra_led_pendant_3__70181.1661482677.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11425/duraguard_astra_led_pendant_3__70181.1661482677.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11425/duraguard_astra_led_pendant_3__70181.1661482677.44.58.jpg?c=1
11426,DG-FB1,6291,"Astra LED Pendant",d/078/duraguard_astra_led_pendant_2__06326.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11426/duraguard_astra_led_pendant_2__06326.1661482677.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11426/duraguard_astra_led_pendant_2__06326.1661482677.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11426/duraguard_astra_led_pendant_2__06326.1661482677.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11426/duraguard_astra_led_pendant_2__06326.1661482677.44.58.jpg?c=1
11427,DG-FB1,6291,"Astra LED Pendant Size",k/764/duraguard_astra_led_pendant_size__87054.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11427/duraguard_astra_led_pendant_size__87054.1661482677.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11427/duraguard_astra_led_pendant_size__87054.1661482677.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11427/duraguard_astra_led_pendant_size__87054.1661482677.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6291/images/11427/duraguard_astra_led_pendant_size__87054.1661482677.44.58.jpg?c=1
11433,DG-DSFLQF1X22,6297,"22 Watt LED Deluxe Small Flood Light Type V",k/209/duraguard_22_watt_led_deluxe_small_flood_light_type_v__19929.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11433/duraguard_22_watt_led_deluxe_small_flood_light_type_v__19929.1661484032.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11433/duraguard_22_watt_led_deluxe_small_flood_light_type_v__19929.1661484032.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11433/duraguard_22_watt_led_deluxe_small_flood_light_type_v__19929.1661484032.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11433/duraguard_22_watt_led_deluxe_small_flood_light_type_v__19929.1661484032.44.58.jpg?c=1
11434,DG-DSFLQF1X22,6297,"22 Watt LED Deluxe Small Flood Light Type V Size",f/132/duraguard_22_watt_led_deluxe_small_flood_light_type_v_size__52717.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11434/duraguard_22_watt_led_deluxe_small_flood_light_type_v_size__52717.1661484032.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11434/duraguard_22_watt_led_deluxe_small_flood_light_type_v_size__52717.1661484032.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11434/duraguard_22_watt_led_deluxe_small_flood_light_type_v_size__52717.1661484032.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6297/images/11434/duraguard_22_watt_led_deluxe_small_flood_light_type_v_size__52717.1661484032.44.58.jpg?c=1
11437,DG-AD25QF1X,6300,"DuraGuard LED DurAdjust Area, Wall, and Flood Light",t/084/duraguard_led_duradjust_area_wall_and_flood_light__24537.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11437/duraguard_led_duradjust_area_wall_and_flood_light__24537.1626268192.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11437/duraguard_led_duradjust_area_wall_and_flood_light__24537.1626268192.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11437/duraguard_led_duradjust_area_wall_and_flood_light__24537.1626268192.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11437/duraguard_led_duradjust_area_wall_and_flood_light__24537.1626268192.44.58.jpg?c=1
11438,DG-AD25QF1X,6300,"DuraGuard LED DurAdjust Area, Wall, and Flood Light",m/826/duraguard_led_duradjust_area_wall_and_flood_light_2__23190.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11438/duraguard_led_duradjust_area_wall_and_flood_light_2__23190.1626268193.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11438/duraguard_led_duradjust_area_wall_and_flood_light_2__23190.1626268193.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11438/duraguard_led_duradjust_area_wall_and_flood_light_2__23190.1626268193.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/6300/images/11438/duraguard_led_duradjust_area_wall_and_flood_light_2__23190.1626268193.44.58.jpg?c=1
