parent_sku,child_sku,"Size & Wattage Options","Color Temperature (CCT)"
TF-ICFFR,TF-ICFFR-12X48LJD40DMVWHRP01-30K,"12""W x 48""L - 48 Watts & 2\,850 Lumens - REGRESSED",3000K
TF-ICFFR,TF-ICFFR-12X48LJD40DMVWHRP01-35K,"12""W x 48""L - 48 Watts & 2\,850 Lumens - REGRESSED",3500K
TF-ICFFR,TF-ICFFR-12X48LJD40DMVWHRP01-40K,"12""W x 48""L - 48 Watts & 2\,850 Lumens - REGRESSED",4000K
TF-ICFFR,TF-ICFFR-12X48LJD40DMVWHRP01-50K,"12""W x 48""L - 48 Watts & 2\,850 Lumens - REGRESSED",5000K
TF-ICFFR,TF-ICFFR-24X48LJD95DMVWHRP01-30K,"24""W x 48""L - 95 Watts & 5\,700 Lumens - REGRESSED",3000K
TF-ICFFR,TF-ICFFR-24X48LJD95DMVWHRP01-35K,"24""W x 48""L - 95 Watts & 5\,700 Lumens - REGRESSED",3500K
TF-ICFFR,TF-ICFFR-24X48LJD95DMVWHRP01-40K,"24""W x 48""L - 95 Watts & 5\,700 Lumens - REGRESSED",4000K
TF-ICFFR,TF-ICFFR-24X48LJD95DMVWHRP01-50K,"24""W x 48""L - 95 Watts & 5\,700 Lumens - REGRESSED",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D192DMVWH-30KRD,"77"" Diameter - Downlight Only 192W & 19200 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D192DMVWH-35KRD,"77"" Diameter - Downlight Only 192W & 19200 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-D192DMVWH-40KRD,"77"" Diameter - Downlight Only 192W & 19200 Lumens",4000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D192DMVWH-50KRD,"77"" Diameter - Downlight Only 192W & 19200 Lumens",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D384DMVWH-30KRD,"140"" Diameter - Downlight Only 384W & 38400 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D384DMVWH-35KRD,"140"" Diameter - Downlight Only 384W & 38400 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-D384DMVWH-40KRD,"140"" Diameter - Downlight Only 384W & 38400 Lumens",4000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D384DMVWH-50KRD,"140"" Diameter - Downlight Only 384W & 38400 Lumens",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D576DMVWH-30KRD,"203"" Diameter - Downlight Only 576W & 57600 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D576DMVWH-35KRD,"203"" Diameter - Downlight Only 576W & 57600 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-D576DMVWH-40KRD,"203"" Diameter - Downlight Only 576W & 57600 Lumens",4000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D576DMVWH-50KRD,"203"" Diameter - Downlight Only 576W & 57600 Lumens",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D768DMVWH-30KRD,"265"" Diameter - Downlight Only 768W & 76800 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D768DMVWH-35KRD,"265"" Diameter - Downlight Only 768W & 76800 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-D768DMVWH-40KRD,"265"" Diameter - Downlight Only 768W & 76800 Lumens",4000K
TF-PLY44SF-OT,TF-PLY44SF-OT-D768DMVWH-50KRD,"265"" Diameter - Downlight Only 768W & 76800 Lumens",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U112D192DMVWH-30KRD,"77"" Diameter - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U112D192DMVWH-35KRD,"77"" Diameter - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-U112D192DMVWH-40KRD,"77"" Diameter - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",4000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U112D192DMVWH-50KRD,"77"" Diameter - Uplight 112W & 11200 Lumens\, Downlight 192W & 19200 Lumens",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U224D384DMVWH-30KRD,"140"" Diameter - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U224D384DMVWH-35KRD,"140"" Diameter - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-U224D384DMVWH-40KRD,"140"" Diameter - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",4000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U224D384DMVWH-50KRD,"140"" Diameter - Uplight 224W & 22400 Lumens\, Downlight 384W & 38400 Lumens",5000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U336D576DMVWH-30KRD,"203"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",3000K
TF-PLY44SF-OT,TF-PLY44SF-OT-U336D576DMVWH-35KRD,"203"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",3500K
TF-PLY44SF-OT,TF-PLY44SF-OT-U336D576DMVWH-40KRD,"203"" Diameter - Uplight 336W & 33600 Lumens\, Downlight 576W & 57600 Lumens",4000K
